input1,output1
[-1 100],0
[25 79 36 11 -89 23 -97 -52 -24 -42 73],6
[53 -6 -72 87 -92],2
[0 -1 -1],1
[38 38 24 -61 3 37 -12 -24 -40 -50 -64 -4 -71 -23 -47 -5],9
[-87 -16 52],0
[23 36 -75 -76 92 -28 95 71 -4 -42],2
[-95 100],0
[-50 50],0
[23 31 -100 -52 -47 -78],2
[0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],10
[2 63 53 61 -99 -90 -10 -62 -97 -1],5
[-59 91 34 29 -15 11 14 -73 -86 -89 -71 -84 -57 63 -4 -3],0
[50 -30 -100 -67 2 12 -66],2
[5 -10 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],1
[-66 52 99],0
[-49 -37 -19 96 56 16 -79],0
[-100 -100 -100],0
[1 2 3 4 5 6 7 8 9 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 10],18
[6 100 8 3 -83 11 27 67 -68 -3 -24 15 -51 32 -45 -29 -94 -78],14
[21 51 17 92 9 77 -10 96 -49 8 -62 -14 -48 -2 -89 -55 -21 -77],17
[91 -23 66 -21 87 -87 -62 48 -66 0 19 -14 -74 -82 -45],12
[67 -23 -93 -58],2
[-8 8 80 17 1 -100 74 10 45 -5 -16 -42 -35 -82 -54 -91],0
[-1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100],0
[1 -2],1
[7 36 6 -71 -97],3
[15 -61 94 21 -79],1
[99 -100],1
[76 58 -61 -98 -46 -10],3
[43 71 5 72 9 37 -42 17 -84 -88 -43 46 0 -20 -98 -3 -99],10
[50 0 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],19
[74 35 42 0 -69 80 25 -53 -23 -81 -39 9 -34 -36 60 -60 14 -71],10
[3 2 54 -83 52 60 79 32 -77 -14 28 -97 9 -64 -7 -73 91 -33 -19 -27],3
[-68 51 34 -79 -15 29 35 -26 -80 33 -91 -92 -40],0
[-63 27 38 6 41 47 10 38 39 -14 -6 -38 -32 -100],0
[54 -72 97 45 79],1
[36 -10 -37 66 -28 95 -89],2
[2 -2 -1],2
[-1],0
[93 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5],19
[-1 100 99],0
