input1,output1
[0 42 28 39 55 -52 72 -3 -14 59 70 -66 -93 -13 -19 -53 -86 -37 82 -49],16
[50 -30 -100 -67 2 12 -66],2
[-100 -100 -100],0
[3 -97],1
[67 -23 -93 -58],2
[0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],10
[36 46 87 -80 -75 -8 0 -38 -78 40 -68 33 -73 -89 -61 -82 -23 69 -91 -34],7
[68 29 -40 -5 36 40 80 64 -49 50 -95 44 -11 -37 -89 -80 -46 -91 -66],16
[75 -66 3 6 -72 -1 -98],4
[1 1 1 1 2 2 2 2 -1 -1 -1 -2 -3 -4 -5 -1 1 2 3 4],14
[-59 91 34 29 -15 11 14 -73 -86 -89 -71 -84 -57 63 -4 -3],0
[1 -34 21 12 -28 21 16 -24 -86 -32 98 -77 -62 -99],1
[2 -84],1
[99 -10 -9 -12 -10 -5 -12 -3 -10 -9 -9 -10 -12 -11 -12 -9 -10 -12 -11 -10],12
[1 -2],1
[68 -38 79 -77 -71],4
[1 -2 -1],1
[-99 97 25 26 89 -65 41 46 -41 -5 29 -59 2 -23 -65 -97 -34 -84 63 -51],0
[23 36 -75 -76 92 -28 95 71 -4 -42],2
[66 -47 48 96 -51 89 -50 81 30 -82 -85 37 -75 -61 -95 -62 -29 -66 -35 -28],13
[-4 -40 -82],0
[93 75 -6 63 0 -25 -27 -27 28 -94 -75 -89 -33 -2],11
[99 -100],1
[-2 -13 -38 34 -80],0
[-84],0
[1 -1 -1],2
[17 65 69 39 67 -45 33 -62 -93 -93 60 -83 14 45 -67 -88 -23],9
[6 100 8 3 -83 11 27 67 -68 -3 -24 15 -51 32 -45 -29 -94 -78],14
[-10 73 82 53 -85 -65 -47 27 -48 66],0
[-1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100],0
[-87 -16 52],0
[88 5 -41 -91 92 -81 15 100 18 -61 78 -79 48],3
[91 12 -48 44 11 13 -88 -36 72],7
[26 -22 29 16 -82 -37 -56 94 -14 -62 -20 12 -93 -3],4
[41 48 -72 -80 18 41 -98 52 77 55 -21 11 20 -44 -58],3
[50 0 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],19
[7 36 6 -71 -97],3
[72 37 73 97 -32 68 48 19 -89 -75 -80 -83 -20 -76 -9 -76 -20 -51 -8],13
[23 57 -94 26 -39 -10 91 4 -78 -68 -97 -19 -47 -67 -10],2
[15 -9 -82 -99 -24 91 -22 -4],2
[41 -44 -91 79 75],1
[55 53 50 -58 1 62 28 47 -49 -69 -55 -91 -14 -78 -91],11
[93 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5],19
[77 68 0 -62 -26 -71 33 -74 -51 39 -21 -80],5
[-95 100],0
[-95 72 21 31 -69],0
[51 53 0 -37 -83 -39 -3 33 -28 81],4
[-30 5],0
[-1],0
[84 -10 -50 -36 77 -2 11 27 -68 -98 -49 -81 -87 15],3
[30 34 67 -46 -76 -87 -64 15],5
[68 27 64 58 97 14 13 12 22 -21 43 -3 -47 -75 18 -30 -98 -12 -85 -84],19
[50 67 34 -91 -63 -58 -51 -2 -37 -57 17 -3 60 -2 -88 -49 -84 -46 69 -38],4
[0 0 -1],2
[-75 -72],0
[9 -73 94 13 78 48 87 -76 27 -4 13 -33 -15 99 73 -48 -11],1
[68 1 53 71 -59 -97 37 -19 17 53 -63 -40 -4 -76 -33 -49 -48 -64],13
[36 -10 -37 66 -28 95 -89],2
[23 31 -100 -52 -47 -78],2
[2 -2 -1],2
[87 -42 19 7 -45 25 -69 0 12 7 41 31 -30 -92 -14 -78 -91],6
[21 -6 14 84 -10 71 -20 -95 -21 -93 -52],9
[51 5 74 73 87 84 -95 -54 -63 -68 -81 -30 -45 49 -6 -21],11
[-1 100 99],0
[100 -100 -100],2
[-18 76],0
[21 88 90 -61 -96 -57 -26 -9 -19],5
[-49 -97 -95],0
[5 -10 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],1
[78 48 44 -93 76 -69 -77 -100 -41 48 -55 62 -74 -50],7
[72 52 68 26 60 -17 -33 -38 -48 -39 -66 -70 -42 -66 -89 -94 -79],11
[20 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],1
[54 -72 97 45 79],1
[47 13 60 22 35 -90 73 -26 -38 -99 -60 -77 -2 -56 -67 -46 -4],9
[49 -92 -5 -57],1
[7 -7 52 -12 63 -74 -66 11 -66 -77],6
[-87 82 -96],0
[50 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],10
[-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10],0
[13 0 -8 18 96 19 -94 -50 89 -40 -70 -41 2 -26 -7 -84 -75 -96],7
[72 0 88 36 -83 31 -95 98 -35 -20 -65 -80 -56 -23 -21 -45 -42 -99 -76],11
[97 -44 -4 -54 -63 -93 -97 -44 -32 -100 -67],3
[5 -5 -5],2
[7 -87 100 25 15 28 -25 -19],1
[70 15 39 99 97 -26 -14 -46 44 -44 -90 -69 0 3 -72 -12 -12 -69],15
[12 37 69 -86 -32 57 -90 -88 -10],6
[76 58 -61 -98 -46 -10],3
[25 83 43 -83 -96 -43 49 -10 5 3 49 65 -4 -39 -76],4
[15 -61 94 21 -79],1
[50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -60],19
[94 88 7 -58 -92 -79 -57 -15 -4 -65 -3 7],5
[-8 8 80 17 1 -100 74 10 45 -5 -16 -42 -35 -82 -54 -91],0
[91 -23 66 -21 87 -87 -62 48 -66 0 19 -14 -74 -82 -45],12
[9 0 -86 -27 52],2
[81 -55 -70 27 78 -26],2
[-66 52 99],0
[43 71 5 72 9 37 -42 17 -84 -88 -43 46 0 -20 -98 -3 -99],10
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 -99],19
[25 79 36 11 -89 23 -97 -52 -24 -42 73],6
[-36 33 67 42 87 -4 -34 -13 -23],0
[1 2 3 4 5 6 7 8 9 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 10],18
[31 42 -93],2
[-63 -76 -39 93 -5 -85],0
[59 12 23 3 96 19 -8 -88 -46 -7 20 68 -15 -23 -16 -33 -41 -31 -82 -25],17
[3 2 54 -83 52 60 79 32 -77 -14 28 -97 9 -64 -7 -73 91 -33 -19 -27],3
[8 45 74 -74 51 -30 -58 68 -56 -3 -19 -49 32 -64 -6 -11 -75 -99],11
[4 -31 11 62 -23 -95 -29 -58],1
[56 9 14 58 29 62 46 6 -75 -10 -73 47 48 -21 -24 28 -57 -2 -95 -75],19
[-1 100],0
[10 -91 -42 92 -11 -16 -54],1
[15 45 10 -47 50 -49 53 -61 -3 -44 -64 -47 -58 -96],9
[30 -84],1
[50 -75 -90 -38],1
[-49 -37 -19 96 56 16 -79],0
[32 -81 -25 -89],1
[0 -1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],1
[-61],0
[-20],0
[85 4 -5 -93 64 -2 76 59 -100 -89],3
[38 70 17 32 -31 59 -46 -94 -75 -67 65],8
[21 51 17 92 9 77 -10 96 -49 8 -62 -14 -48 -2 -89 -55 -21 -77],17
[-58],0
[18 66 -54 -30 -98 95],4
[-100],0
[58 70 83 -20 -14 14 30 28 26 -61 98 -10 -24 -28 -72 -26 -71 -32 -77 -46],18
[0 37 -27 51 -87 34 88 18 43 20 15 -71 27 52 72 -9 94 -91 -49],4
[-80],0
[39 -79 61 -22 42 -74 -13 28 -40 -77],1
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1],19
[30 96 22 -100 13 74 -20 -49 -87 -55 51 -15 -91 -18],8
[29 55 -95 -96 -44 74 -25 76 72 -3 -29 -68],2
[6 46 2 -94 -10 89 82 92],3
[-50 50],0
[-63 27 38 6 41 47 10 38 39 -14 -6 -38 -32 -100],0
[53 -6 -72 87 -92],2
[-77 49 7 65 60 82 -39 17 -10 2 49],0
[0 -1 -1],1
[62 5 -78 -3 87 -70],2
