input1,output1,output2,output3,output4
5345,0,0,2,213
3883,3,1,0,155
5884,4,1,0,235
2607,2,1,0,104
3087,2,0,1,123
9477,2,0,0,379
7201,1,0,0,288
2256,1,1,0,90
2035,0,0,1,81
5339,4,0,1,213
20,0,0,2,0
1229,4,0,0,49
2566,1,1,1,102
819,4,1,1,32
9,4,1,0,0
6588,3,0,1,263
883,3,1,0,35
8343,3,1,1,333
8225,0,0,0,329
3262,2,0,1,130
2939,4,0,1,117
1336,1,0,1,53
3928,3,0,0,157
17,2,1,1,0
559,4,1,0,22
8991,1,1,1,359
2092,2,1,1,83
41,1,1,1,1
7522,2,0,2,300
490,0,1,1,19
11,1,0,1,0
9143,3,1,1,365
4408,3,1,0,176
7744,4,1,1,309
68,3,1,1,2
7300,0,0,0,292
5794,4,1,1,231
6832,2,1,0,273
1677,2,0,0,67
2,2,0,0,0
5440,0,1,1,217
10,0,0,1,0
6623,3,0,2,264
9441,1,1,1,377
14,4,0,1,0
314,4,0,1,12
7698,3,0,2,307
23,3,0,2,0
27,2,0,0,1
6323,3,0,2,252
7336,1,0,1,293
8,3,1,0,0
7,2,1,0,0
22,2,0,2,0
6585,0,0,1,263
5370,0,0,2,214
118,3,1,1,4
8789,4,0,1,351
6,1,1,0,0
3642,2,1,1,145
3992,2,1,1,159
21,1,0,2,0
2315,0,1,1,92
25,0,0,0,1
128,3,0,0,5
28,3,0,0,1
5458,3,1,0,218
30,0,1,0,1
7692,2,1,1,307
7920,0,0,2,316
7290,0,1,1,291
6147,2,0,2,245
9675,0,0,0,387
4821,1,0,2,192
4698,3,0,2,187
7146,1,0,2,285
8930,0,1,0,357
4232,2,1,0,169
5667,2,1,1,226
2463,3,0,1,98
21,1,0,2,0
7652,2,0,0,306
3923,3,0,2,156
3342,2,1,1,133
410,0,0,1,16
7904,4,0,0,316
26,1,0,0,1
9292,2,1,1,371
24,4,0,2,0
84,4,1,0,3
5784,4,1,0,231
9511,1,0,1,380
2250,0,0,0,90
3543,3,1,1,141
4144,4,1,1,165
8840,0,1,1,353
6934,4,1,0,277
4354,4,0,0,174
5103,3,0,0,204
4530,0,1,0,181
1777,2,0,0,71
5064,4,0,1,202
1429,4,0,0,57
3156,1,1,0,126
8042,2,1,1,321
2282,2,1,0,91
5745,0,0,2,229
12,2,0,1,0
3390,0,1,1,135
2872,2,0,2,114
2747,2,0,2,109
4720,0,0,2,188
4698,3,0,2,187
4,4,0,0,0
5889,4,0,1,235
6293,3,1,1,251
8004,4,0,0,320
3,3,0,0,0
5538,3,0,1,221
3470,0,0,2,138
4154,4,0,0,166
1,1,0,0,0
1572,2,0,2,62
3591,1,1,1,143
5,0,1,0,0
7143,3,1,1,285
2763,3,0,1,110
2619,4,1,1,104
3954,4,0,0,158
6999,4,0,2,279
515,0,1,1,20
2566,1,1,1,102
7559,4,1,0,302
109,4,1,0,4
4179,4,0,0,167
7275,0,0,0,291
9824,4,0,2,392
694,4,1,1,27
1235,0,0,1,49
3952,2,0,0,158
15,0,1,1,0
7809,4,1,0,312
3807,2,1,0,152
3963,3,0,1,158
6233,3,1,0,249
2665,0,1,1,106
5224,4,0,2,208
509,4,1,0,20
8856,1,1,0,354
5075,0,0,0,203
3867,2,1,1,154
1041,1,1,1,41
35,0,0,1,1
4366,1,1,1,174
19,4,1,1,0
2883,3,1,0,115
1368,3,1,1,54
2521,1,0,2,100
67,2,1,1,2
3146,1,0,2,125
184,4,1,0,7
5933,3,1,0,237
8110,0,0,1,324
3782,2,1,0,151
1676,1,0,0,67
11,1,0,1,0
1914,4,0,1,76
2796,1,0,2,111
9080,0,1,0,363
9668,3,1,1,386
3667,2,1,1,146
1784,4,1,0,71
5523,3,0,2,220
3540,0,1,1,141
5814,4,0,1,232
8195,0,0,2,327
16,1,1,1,0
2818,3,1,1,112
13,3,0,1,0
10000,0,0,0,400
5742,2,1,1,229
2832,2,1,0,113
8177,2,0,0,327
7650,0,0,0,306
3052,2,0,0,122
5403,3,0,0,216
6822,2,0,2,272
1055,0,1,0,42
7425,0,0,0,297
8459,4,1,0,338
2837,2,0,1,113
5273,3,0,2,210
8043,3,1,1,321
29,4,0,0,1
5043,3,1,1,201
5801,1,0,0,232
5145,0,0,2,205
18,3,1,1,0
4691,1,1,1,187
7237,2,0,1,289
