input1,output1,output2,output3,output4
5370,0,0,2,214
3992,2,1,1,159
1235,0,0,1,49
5103,3,0,0,204
9441,1,1,1,377
19,4,1,1,0
5801,1,0,0,232
5814,4,0,1,232
41,1,1,1,1
515,0,1,1,20
35,0,0,1,1
509,4,1,0,20
8459,4,1,0,338
8856,1,1,0,354
4530,0,1,0,181
2566,1,1,1,102
9477,2,0,0,379
5745,0,0,2,229
5145,0,0,2,205
2,2,0,0,0
27,2,0,0,1
5538,3,0,1,221
25,0,0,0,1
28,3,0,0,1
118,3,1,1,4
6623,3,0,2,264
29,4,0,0,1
3540,0,1,1,141
26,1,0,0,1
3923,3,0,2,156
7904,4,0,0,316
559,4,1,0,22
4698,3,0,2,187
8,3,1,0,0
30,0,1,0,1
1429,4,0,0,57
184,4,1,0,7
1677,2,0,0,67
883,3,1,0,35
18,3,1,1,0
4691,1,1,1,187
13,3,0,1,0
1676,1,0,0,67
6293,3,1,1,251
8840,0,1,1,353
20,0,0,2,0
3262,2,0,1,130
2256,1,1,0,90
9,4,1,0,0
3782,2,1,0,151
3342,2,1,1,133
10,0,0,1,0
4720,0,0,2,188
7652,2,0,0,306
21,1,0,2,0
6585,0,0,1,263
7809,4,1,0,312
5,0,1,0,0
15,0,1,1,0
12,2,0,1,0
8343,3,1,1,333
3,3,0,0,0
7300,0,0,0,292
11,1,0,1,0
7,2,1,0,0
5667,2,1,1,226
7425,0,0,0,297
23,3,0,2,0
2092,2,1,1,83
1784,4,1,0,71
5458,3,1,0,218
4408,3,1,0,176
5884,4,1,0,235
16,1,1,1,0
4144,4,1,1,165
3867,2,1,1,154
8789,4,0,1,351
4,4,0,0,0
6,1,1,0,0
6147,2,0,2,245
1,1,0,0,0
14,4,0,1,0
8225,0,0,0,329
4698,3,0,2,187
5784,4,1,0,231
7237,2,0,1,289
10000,0,0,0,400
2665,0,1,1,106
2837,2,0,1,113
17,2,1,1,0
24,4,0,2,0
7290,0,1,1,291
5523,3,0,2,220
7692,2,1,1,307
6832,2,1,0,273
22,2,0,2,0
7336,1,0,1,293
7650,0,0,0,306
5043,3,1,1,201
109,4,1,0,4
