input1,input2,output1
3,4,0.25
35,29,0.5714286
88,16,0.90340906
41,75,0.26666668
68,59,0.5588235
33,32,0.5
28,15,0.71428573
1,2,0.0
89,11,0.9325843
67,87,0.37931034
32,32,0.484375
100,99,0.5
5,68,0.029411765
49,50,0.48
48,35,0.625
50,50,0.49
31,25,0.58064514
71,71,0.49295774
46,51,0.44117647
4,6,0.25
3,38,0.02631579
64,2,0.9765625
24,32,0.359375
6,4,0.5833333
100,1,0.99
41,55,0.36363637
20,6,0.825
94,37,0.79787236
20,11,0.7
1,1,0.0
41,42,0.47619048
1,9,0.0
16,75,0.1
99,100,0.49
57,26,0.7631579
32,94,0.16489361
42,87,0.23563218
1,100,0.0
10,51,0.0882353
4,3,0.5
99,100,0.49
56,33,0.6964286
33,72,0.22222222
26,70,0.17857143
37,86,0.20930232
9,50,0.08
2,1,0.5
79,6,0.9556962
50,49,0.5
100,100,0.495
