input1,output1
i-xww y ci,iXww y ci
mgfhr-kp-bnib-iao,mgfhrKpBnibIao
rtk zn-i-gym,rtk znIGym
gt n-z-fyzy-pi,gt nZFyzyPi
gik,gik
ui norp-txb,ui norpTxb
w m-avs sbho,w mAvs sbho
azyio-o-zj-ann nm,azyioOZjAnn nm
xhz-vpp-bbs-t,xhzVppBbsT
i,i
pkkzy-i-weo-tdtzb-f,pkkzyIWeoTdtzbF
pnb,pnb
nyid-upgq,nyidUpgq
ipp-nmo-i kungv d-z,ippNmoI kungv dZ
iy-jbwju hiwh,iyJbwju hiwh
nujo-ji-ezp,nujoJiEzp
two-words,twoWords
zwbz-xou,zwbzXou
a b c d e f g h i j,a b c d e f g h i j
hg nax-lxh,hg naxLxh
zakwm rxna,zakwm rxna
w-mvckd qg,wMvckd qg
ssvc,ssvc
all-one-word-dashed,allOneWordDashed
loooooong wooooords,loooooong wooooords
ggm-z-vf-hm-rhww-vf,ggmZVfHmRhwwVf
two words,two words
vkji-i-y,vkjiIY
ln-wqda fqff-n-snb,lnWqda fqffNSnb
d,d
nbsf-lkm-majhu i p,nbsfLkmMajhu i p
izsvb fcz,izsvb fcz
dyvy-r-a,dyvyRA
ee-qjjo-xnqrp,eeQjjoXnqrp
a-b-c-d-e-f-g-h-i-j,aBCDEFGHIJ
b erpa,b erpa
do,do
nospaceordash,nospaceordash
,
gfxlv-rboq,gfxlvRboq
wr-yb,wrYb
xqie-kw-xxa,xqieKwXxa
loooooong-wooooords,loooooongWooooords
k-sztp ek-ct-ewrxl,kSztp ekCtEwrxl
saaaaaaaaaaaaaaaaame,saaaaaaaaaaaaaaaaame
aimz-yg,aimzYg
qvuer o bs,qvuer o bs
e-nfkl-h,eNfklH
us,us
all separate words,all separate words
