input1,output1
rk,rk
ipp-nmo-i kungv d-z,ippNmoI kungv dZ
k mx,k mx
dyvy-r-a,dyvyRA
pn,pn
v yz,v yz
saaaaaaaaaaaaaaaaame,saaaaaaaaaaaaaaaaame
usfa zzxj,usfa zzxj
gpqc,gpqc
all separate words,all separate words
,
d,d
g qsgr,g qsgr
b erpa,b erpa
hg nax-lxh,hg naxLxh
nbsf-lkm-majhu i p,nbsfLkmMajhu i p
ssvc,ssvc
dtdn,dtdn
ha werw-csvk,ha werwCsvk
ivz,ivz
r-w-i su-rl v,rWI suRl v
om-yxye,omYxye
iz-gds taudf-gtc-v,izGds taudfGtcV
lyw-tjgar,lywTjgar
xiyd-cd d-rkshs,xiydCd dRkshs
ln-wqda fqff-n-snb,lnWqda fqffNSnb
us,us
ui norp-txb,ui norpTxb
gm-za,gmZa
n s-tliqy-whtb,n sTliqyWhtb
kqft,kqft
s dvf-rcb-dso,s dvfRcbDso
mgfhr-kp-bnib-iao,mgfhrKpBnibIao
zjb gw nl x,zjb gw nl x
e-nfkl-h,eNfklH
uwz,uwz
m-dcimp-tir-ik,mDcimpTirIk
iuxi-j,iuxiJ
xhz-vpp-bbs-t,xhzVppBbsT
azyio-o-zj-ann nm,azyioOZjAnn nm
lgopk hhhny-iu,lgopk hhhnyIu
zfzds d,zfzds d
nospaceordash,nospaceordash
i,i
lzzs-rcw,lzzsRcw
f h-bjscv,f hBjscv
ih zub-peb,ih zubPeb
jx-c,jxC
izsvb fcz,izsvb fcz
a-w p-cfqy-agggr-mn,aW pCfqyAgggrMn
auay-g,auayG
nyid-upgq,nyidUpgq
c,c
vkctc-ipc-j lv,vkctcIpcJ lv
ee-qjjo-xnqrp,eeQjjoXnqrp
a-b-c-d-e-f-g-h-i-j,aBCDEFGHIJ
d,d
two-words,twoWords
gt n-z-fyzy-pi,gt nZFyzyPi
yd-yjj,ydYjj
kw-jrz,kwJrz
h,h
plk-hkt-dd,plkHktDd
jc-r,jcR
jaih-dwod,jaihDwod
z dea,z dea
r-h-wihht-gg,rHWihhtGg
m lhr-bu hqw,m lhrBu hqw
w-mvckd qg,wMvckd qg
fujt xrtmn-svab,fujt xrtmnSvab
b ds-fgm-dyc-kdn,b dsFgmDycKdn
two words,two words
fno-du-psxi,fnoDuPsxi
kpt-jc-cmp,kptJcCmp
ggm-z-vf-hm-rhww-vf,ggmZVfHmRhwwVf
w m-avs sbho,w mAvs sbho
zakwm rxna,zakwm rxna
k-sztp ek-ct-ewrxl,kSztp ekCtEwrxl
e-broys-et,eBroysEt
hypp ffl,hypp ffl
txqku-op,txqkuOp
qvuer o bs,qvuer o bs
vkcxj-rm-ft-d,vkcxjRmFtD
he-h-m-d l,heHMD l
ao kkqjr n-k-bena,ao kkqjr nKBena
x dchm fjm-d-b qq,x dchm fjmDB qq
jwiz zs ihwn-i-i-jz,jwiz zs ihwnIIJz
pnb,pnb
nujo-ji-ezp,nujoJiEzp
ebi-z jn uvw-sswl,ebiZ jn uvwSswl
ivwe,ivwe
aimz-yg,aimzYg
eqn,eqn
v w,v w
all-one-word-dashed,allOneWordDashed
y-chu x-ko-ygpql-ubo,yChu xKoYgpqlUbo
w-qyieh-ha,wQyiehHa
vkji-i-y,vkjiIY
gik,gik
coz-j,cozJ
jqkcj-fsyri ciocr-z,jqkcjFsyri ciocrZ
fe,fe
ue,ue
zt-iykq-o,ztIykqO
ehtg-sdauf atdlk-c,ehtgSdauf atdlkC
z-vh gi-mjggo-cb be,zVh giMjggoCb be
n-duwku,nDuwku
k-ydx qgbj,kYdx qgbj
w,w
sd,sd
pkkzy-i-weo-tdtzb-f,pkkzyIWeoTdtzbF
wbd-vmwr-jh,wbdVmwrJh
a b c d e f g h i j,a b c d e f g h i j
i-xww y ci,iXww y ci
taea-ugzqw-tw,taeaUgzqwTw
f-wr-al ys o-tc,fWrAl ys oTc
oeb,oeb
dfkm-w-wdh ug,dfkmWWdh ug
vm d,vm d
ss nyv-dl k-mjsw,ss nyvDl kMjsw
naos,naos
eim ljxod,eim ljxod
ad v-e,ad vE
xqie-kw-xxa,xqieKwXxa
vlilo,vlilo
loooooong wooooords,loooooong wooooords
loooooong-wooooords,loooooongWooooords
mldo,mldo
q xe,q xe
ph m-qdnci-kwmad,ph mQdnciKwmad
y xcg-k,y xcgK
or-bcc-p-l q,orBccPL q
bfyqd ghqiv-brlk-u,bfyqd ghqivBrlkU
rtk zn-i-gym,rtk znIGym
jed ep,jed ep
wr-yb,wrYb
do,do
wtme-p-q-tijoa-mz ps,wtmePQTijoaMz ps
zwbz-xou,zwbzXou
esq,esq
nmrr,nmrr
x-j-lz-vo lz-a,xJLzVo lzA
ic-det zohv up i-o,icDet zohv up iO
gfxlv-rboq,gfxlvRboq
yy-sdqi pvqxb,yySdqi pvqxb
bhjy zc,bhjy zc
ia-mtusb,iaMtusb
iy-jbwju hiwh,iyJbwju hiwh
lxz dmhfm dmd,lxz dmhfm dmd
vi cn-oxm yl,vi cnOxm yl
