input1,output1
w-qyieh-ha,wQyiehHa
hypp ffl,hypp ffl
w-mvckd qg,wMvckd qg
yy-sdqi pvqxb,yySdqi pvqxb
x-j-lz-vo lz-a,xJLzVo lzA
ss nyv-dl k-mjsw,ss nyvDl kMjsw
rk,rk
ggm-z-vf-hm-rhww-vf,ggmZVfHmRhwwVf
zwbz-xou,zwbzXou
all separate words,all separate words
e-nfkl-h,eNfklH
two-words,twoWords
gik,gik
yd-yjj,ydYjj
loooooong wooooords,loooooong wooooords
a-b-c-d-e-f-g-h-i-j,aBCDEFGHIJ
lgopk hhhny-iu,lgopk hhhnyIu
b erpa,b erpa
a b c d e f g h i j,a b c d e f g h i j
ehtg-sdauf atdlk-c,ehtgSdauf atdlkC
xiyd-cd d-rkshs,xiydCd dRkshs
lxz dmhfm dmd,lxz dmhfm dmd
hg nax-lxh,hg naxLxh
nospaceordash,nospaceordash
iy-jbwju hiwh,iyJbwju hiwh
ao kkqjr n-k-bena,ao kkqjr nKBena
nbsf-lkm-majhu i p,nbsfLkmMajhu i p
jqkcj-fsyri ciocr-z,jqkcjFsyri ciocrZ
ipp-nmo-i kungv d-z,ippNmoI kungv dZ
dyvy-r-a,dyvyRA
d,d
w,w
rtk zn-i-gym,rtk znIGym
a-w p-cfqy-agggr-mn,aW pCfqyAgggrMn
wr-yb,wrYb
xhz-vpp-bbs-t,xhzVppBbsT
z dea,z dea
wbd-vmwr-jh,wbdVmwrJh
nujo-ji-ezp,nujoJiEzp
m-dcimp-tir-ik,mDcimpTirIk
pnb,pnb
lzzs-rcw,lzzsRcw
d,d
k-sztp ek-ct-ewrxl,kSztp ekCtEwrxl
,
x dchm fjm-d-b qq,x dchm fjmDB qq
i,i
ee-qjjo-xnqrp,eeQjjoXnqrp
fno-du-psxi,fnoDuPsxi
jed ep,jed ep
gfxlv-rboq,gfxlvRboq
y xcg-k,y xcgK
ue,ue
azyio-o-zj-ann nm,azyioOZjAnn nm
vm d,vm d
do,do
mldo,mldo
us,us
zjb gw nl x,zjb gw nl x
f-wr-al ys o-tc,fWrAl ys oTc
r-h-wihht-gg,rHWihhtGg
mgfhr-kp-bnib-iao,mgfhrKpBnibIao
usfa zzxj,usfa zzxj
k-ydx qgbj,kYdx qgbj
ph m-qdnci-kwmad,ph mQdnciKwmad
two words,two words
or-bcc-p-l q,orBccPL q
izsvb fcz,izsvb fcz
qvuer o bs,qvuer o bs
all-one-word-dashed,allOneWordDashed
nyid-upgq,nyidUpgq
plk-hkt-dd,plkHktDd
ia-mtusb,iaMtusb
vkji-i-y,vkjiIY
zakwm rxna,zakwm rxna
sd,sd
gpqc,gpqc
ssvc,ssvc
coz-j,cozJ
ln-wqda fqff-n-snb,lnWqda fqffNSnb
s dvf-rcb-dso,s dvfRcbDso
xqie-kw-xxa,xqieKwXxa
loooooong-wooooords,loooooongWooooords
ad v-e,ad vE
v yz,v yz
gm-za,gmZa
w m-avs sbho,w mAvs sbho
eim ljxod,eim ljxod
saaaaaaaaaaaaaaaaame,saaaaaaaaaaaaaaaaame
gt n-z-fyzy-pi,gt nZFyzyPi
pkkzy-i-weo-tdtzb-f,pkkzyIWeoTdtzbF
kw-jrz,kwJrz
ui norp-txb,ui norpTxb
iz-gds taudf-gtc-v,izGds taudfGtcV
i-xww y ci,iXww y ci
c,c
aimz-yg,aimzYg
ivwe,ivwe
naos,naos
vkctc-ipc-j lv,vkctcIpcJ lv
