input1,output1
[2 8 8 7 4 0 5 2 9 1 3 3 6 2 2 1],66
[4 7 8 0 6 9 6 6 6 1 2 9 2 7 5 3],75
[9 5 1 5 9 6 1 5 3 6 8 8 5 2 3 4],83
[9 3 0 1 6 2 1 0 3 8 6 2 1 7 0 4],52
[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4
[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0],6
[2 4 5 8 6 6 4 2 5 2 4 0 8 2 0 0],56
[6 8 9 4 7 7 9 5 3 9 7 1 3 4 1 0],83
[6 6 1 3 2 9 4 6 0 6 3 3 0 2 0 2],60
[1 7 1 0 8 7 7 9 5 6 3 0 9 7 0 4],72
[0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0],7
[0 2 4 0 9 2 9 1 1 8 2 2 7 2 8 8],69
[2 2 4 4 6 3 5 0 6 9 7 1 2 0 6 5],55
[2 0 5 0 8 7 1 2 6 8 4 7 6 1 4 1],62
[1 3 0 4 5 4 0 9 4 3 9 3 5 3 4 8],66
[4 8 7 3 4 4 7 8 0 6 6 6 3 0 7 1],76
[7 4 9 3 7 9 6 2 0 0 2 1 4 0 7 6],64
[4 7 9 3 4 5 6 1 3 6 2 6 8 7 0 6],86
[3 6 6 4 8 1 7 6 5 8 9 2 7 6 5 9],79
[3 3 8 8 0 7 3 6 8 7 8 5 5 8 1 2],82
[3 1 4 7 3 7 3 7 0 8 0 9 2 5 2 0],78
[8 5 4 8 8 9 1 3 9 2 5 6 9 0 0 2],78
[6 9 5 7 3 0 6 9 6 3 8 2 0 4 4 3],68
[0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0],9
[1 0 6 5 2 1 6 9 1 0 5 8 9 1 4 5],61
[8 6 8 2 5 3 1 7 5 6 4 0 1 6 8 6],71
[9 9 2 9 4 5 0 0 4 8 5 4 4 6 5 5],85
[0 9 8 9 5 8 6 9 9 7 5 8 9 0 7 5],90
[4 1 5 8 1 6 9 6 7 9 4 1 5 6 9 5],85
[7 7 8 7 1 2 0 3 2 0 6 4 3 3 2 9],66
[4 3 3 4 7 2 4 3 1 5 3 5 0 1 2 6],68
[2 1 2 9 5 9 8 4 6 9 7 3 3 2 7 3],75
[5 2 5 9 9 7 0 1 8 5 1 8 1 8 1 7],71
[8 5 8 6 4 0 6 9 3 2 4 8 4 3 4 0],88
[7 6 5 4 7 7 3 1 7 7 9 5 3 2 6 3],75
[1 3 6 9 9 4 0 9 6 5 0 4 1 9 4 1],71
[3 3 1 7 1 7 5 8 3 9 7 4 9 4 6 6],82
[3 2 1 0 9 7 5 6 4 2 6 8 2 0 2 5],67
[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],8
[6 3 6 7 3 2 7 6 8 7 0 0 3 8 9 2],74
[6 3 7 4 0 8 2 8 2 5 4 2 1 8 1 9],75
[2 1 4 0 0 5 6 0 0 4 2 1 7 4 2 4],47
[7 1 2 0 6 7 3 5 4 8 1 8 3 5 8 6],81
[8 0 0 0 0 6 0 0 0 0 9 0 0 0 0 0],22
[6 4 4 0 8 9 4 0 8 1 2 7 0 6 7 7],76
[2 4 3 7 3 0 0 4 6 6 7 5 0 3 5 1],55
[1 9 2 3 7 4 8 7 3 3 3 8 9 3 8 9],92
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],144
[6 8 8 2 9 2 9 8 0 8 1 8 0 8 2 1],79
[4 9 9 6 2 2 6 4 0 5 7 0 3 8 4 5],82
[1 3 0 4 7 5 7 4 0 4 1 9 6 5 8 8],66
[0 8 2 0 9 8 6 2 6 6 9 8 7 7 8 0],79
[8 0 9 3 2 6 2 6 7 6 4 1 8 3 5 5],75
[3 0 6 2 1 3 9 4 1 1 7 1 3 0 5 7],52
