input1,output1
[6 4 9 3 5 3 3 0 9 4 8 6 3 5 3 7],79
[4 3 7 1 1 8 8 9 3 8 8 3 9 5 2 4],89
[9 2 1 5 4 3 4 1 0 2 4 0 3 0 9 3],66
[7 2 1 2 0 4 6 6 6 1 2 3 1 2 7 6],50
[8 6 7 0 0 5 7 1 5 8 7 5 7 8 0 5],66
[8 3 8 1 7 5 0 9 9 3 7 6 2 5 8 5],81
[4 9 9 6 2 2 6 4 0 5 7 0 3 8 4 5],82
[5 2 6 7 2 4 9 3 2 9 6 6 0 7 9 4],75
[2 4 3 7 3 0 0 4 6 6 7 5 0 3 5 1],55
[3 5 9 5 7 2 8 7 3 8 1 7 9 9 0 8],95
[4 7 9 3 4 5 6 1 3 6 2 6 8 7 0 6],86
[6 7 2 5 4 0 9 8 7 0 2 6 4 4 9 5],85
[4 3 3 4 7 2 4 3 1 5 3 5 0 1 2 6],68
[3 3 8 8 0 7 3 6 8 7 8 5 5 8 1 2],82
[2 8 8 7 4 0 5 2 9 1 3 3 6 2 2 1],66
[1 3 2 0 6 9 6 7 2 7 5 1 3 6 8 7],70
[7 4 9 3 7 9 6 2 0 0 2 1 4 0 7 6],64
[8 6 8 2 5 3 1 7 5 6 4 0 1 6 8 6],71
[6 5 9 6 0 2 4 9 4 5 2 1 9 2 1 9],82
[2 5 1 7 0 2 6 7 2 6 3 1 5 7 5 5],61
[1 8 7 3 1 8 2 1 2 3 6 6 4 8 4 3],76
[0 0 2 0 0 0 4 0 0 0 0 0 1 0 0 0],14
[2 1 6 1 8 7 7 9 0 0 8 8 9 7 9 6],83
[9 5 8 0 6 9 4 9 6 1 3 6 7 1 8 6],85
[1 3 0 4 5 4 0 9 4 3 9 3 5 3 4 8],66
[1 3 4 7 8 5 1 7 4 6 0 8 0 5 0 3],71
[8 3 4 5 4 4 2 0 4 9 6 3 2 2 5 4],73
[6 2 9 3 1 1 9 6 2 2 7 8 1 3 1 5],66
[1 3 6 9 9 4 0 9 6 5 0 4 1 9 4 1],71
[1 0 5 1 0 3 3 3 5 5 3 9 5 5 2 3],50
[3 3 8 9 3 3 5 8 0 4 6 8 0 7 6 6],74
[3 2 2 5 3 6 4 2 5 8 8 8 3 1 4 3],81
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],48
[1 7 1 0 8 7 7 9 5 6 3 0 9 7 0 4],72
[2 1 3 8 2 8 6 2 7 7 6 7 6 9 4 4],82
[8 7 9 6 8 9 2 8 7 7 1 1 8 1 9 9],98
[2 1 7 6 7 9 6 8 3 3 1 8 2 6 9 6],85
[1 8 4 2 3 0 8 9 3 3 3 4 2 3 5 9],78
[7 7 8 7 1 2 0 3 2 0 6 4 3 3 2 9],66
[1 6 7 8 9 3 1 9 3 9 9 9 5 9 2 2],93
[1 5 4 2 7 3 0 9 0 0 7 7 8 3 0 2],58
[6 4 8 1 9 9 6 2 2 1 2 5 4 4 5 5],70
[5 6 6 7 1 0 2 8 3 2 8 8 9 2 5 0],66
