input1,output1
[3 3 1 7 1 7 5 8 3 9 7 4 9 4 6 6],82
[4 9 9 6 2 2 6 4 0 5 7 0 3 8 4 5],82
[8 2 1 0 8 1 4 4 0 5 2 1 8 8 5 1],58
[0 8 9 7 6 0 3 7 8 7 0 6 3 9 1 2],79
[6 3 7 4 0 8 2 8 2 5 4 2 1 8 1 9],75
[0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5],40
[1 3 2 0 6 9 6 7 2 7 5 1 3 6 8 7],70
[4 7 9 1 7 1 2 8 4 2 8 9 7 2 5 5],82
[7 6 9 3 7 2 8 2 3 4 5 1 7 1 2 7],68
[0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0],5
[3 3 8 9 3 3 5 8 0 4 6 8 0 7 6 6],74
[1 0 5 1 0 3 3 3 5 5 3 9 5 5 2 3],50
[2 0 6 8 5 3 6 0 1 0 0 6 1 5 0 8],45
[9 7 7 0 6 6 2 1 0 7 6 7 0 5 3 1],64
[1 9 2 3 7 4 8 7 3 3 3 8 9 3 8 9],92
[5 2 5 9 9 7 0 1 8 5 1 8 1 8 1 7],71
[8 0 0 0 0 6 0 0 0 0 9 0 0 0 0 0],22
[6 9 5 7 3 0 6 9 6 3 8 2 0 4 4 3],68
[2 8 8 7 4 0 5 2 9 1 3 3 6 2 2 1],66
[1 8 4 2 3 0 8 9 3 3 3 4 2 3 5 9],78
[2 7 6 4 7 5 2 4 0 5 2 8 5 3 7 8],70
[6 3 4 1 7 9 4 7 0 0 9 3 0 4 5 8],69
[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4
[6 7 7 4 6 0 9 5 9 1 7 4 9 6 2 8],82
[3 2 4 9 1 9 2 3 0 3 9 3 7 2 4 0],73
[0 7 1 2 8 4 4 9 1 9 5 4 6 0 6 4],65
[1 8 7 3 1 8 2 1 2 3 6 6 4 8 4 3],76
[0 1 2 3 4 5 6 7 8 9 8 7 6 5 4 3],80
[8 5 4 8 8 9 1 3 9 2 5 6 9 0 0 2],78
[0 0 0 0 0 7 0 0 0 3 0 0 0 0 0 0],10
[5 8 5 1 2 8 8 8 6 0 9 7 1 4 3 8],77
[3 0 1 3 1 3 8 5 1 5 2 9 4 1 7 9],71
[2 4 3 7 3 0 0 4 6 6 7 5 0 3 5 1],55
[0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0],9
[2 5 5 8 0 7 3 5 0 4 6 1 4 6 0 2],60
[7 1 2 0 6 7 3 5 4 8 1 8 3 5 8 6],81
[7 4 9 3 7 9 6 2 0 0 2 1 4 0 7 6],64
[7 7 8 7 1 2 0 3 2 0 6 4 3 3 2 9],66
[8 5 8 6 4 0 6 9 3 2 4 8 4 3 4 0],88
[3 1 4 7 3 7 3 7 0 8 0 9 2 5 2 0],78
[9 7 3 0 4 4 2 7 0 5 0 3 9 8 1 9],81
[1 3 6 5 6 2 8 6 4 4 5 3 8 6 2 7],71
[3 3 8 8 0 7 3 6 8 7 8 5 5 8 1 2],82
[4 3 3 4 7 2 4 3 1 5 3 5 0 1 2 6],68
[8 6 7 0 0 5 7 1 5 8 7 5 7 8 0 5],66
[1 3 4 7 8 5 1 7 4 6 0 8 0 5 0 3],71
[7 2 1 2 0 4 6 6 6 1 2 3 1 2 7 6],50
[4 3 7 1 1 8 8 9 3 8 8 3 9 5 2 4],89
[7 6 5 4 7 7 3 1 7 7 9 5 3 2 6 3],75
[1 5 3 8 4 9 9 3 2 0 4 3 8 3 6 4],82
[0 7 3 7 8 1 0 9 5 5 2 0 2 0 9 5],65
[5 9 1 0 4 1 3 6 0 2 3 9 8 9 3 0],72
[9 2 6 2 3 9 4 9 0 5 5 6 4 6 2 1],79
[6 3 6 7 3 2 7 6 8 7 0 0 3 8 9 2],74
[2 3 3 2 2 1 1 5 0 8 8 0 4 4 5 6],61
[0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0],7
[1 0 2 0 4 3 2 1 0 4 1 2 3 4 2 1],45
[9 5 8 0 6 9 4 9 6 1 3 6 7 1 8 6],85
[9 9 2 9 4 5 0 0 4 8 5 4 4 6 5 5],85
[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],2
[4 7 9 3 4 5 6 1 3 6 2 6 8 7 0 6],86
[1 3 0 4 7 5 7 4 0 4 1 9 6 5 8 8],66
[2 1 6 1 8 7 7 9 0 0 8 8 9 7 9 6],83
[9 4 1 6 5 4 8 0 7 3 4 4 2 7 6 6],73
[3 5 9 5 7 2 8 7 3 8 1 7 9 9 0 8],95
[4 7 8 0 6 9 6 6 6 1 2 9 2 7 5 3],75
[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],8
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],144
[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0],6
[9 2 1 5 4 3 4 1 0 2 4 0 3 0 9 3],66
[1 3 6 9 9 4 0 9 6 5 0 4 1 9 4 1],71
[8 5 9 5 1 8 9 6 3 4 1 9 5 8 6 1],85
[2 5 1 1 1 3 1 2 3 1 2 8 4 2 2 2],56
[6 5 9 0 0 7 7 7 5 0 5 3 7 3 6 9],61
[5 0 3 1 5 3 4 8 5 3 4 4 9 1 2 3],61
[6 8 3 8 8 8 8 4 1 0 6 1 3 3 4 7],81
[0 0 2 0 0 0 4 0 0 0 0 0 1 0 0 0],14
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0
[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],96
[6 8 9 4 7 7 9 5 3 9 7 1 3 4 1 0],83
[9 0 3 2 0 8 1 1 2 6 9 7 6 4 0 7],68
[6 6 1 3 2 9 4 6 0 6 3 3 0 2 0 2],60
[9 9 8 7 6 6 7 8 9 9 8 7 6 5 5 6],101
[7 1 9 4 4 4 3 4 8 5 1 5 1 9 2 7],82
[9 0 2 3 5 8 3 7 4 1 2 8 7 6 4 1],79
[1 3 0 4 5 4 0 9 4 3 9 3 5 3 4 8],66
[8 7 9 6 8 9 2 8 7 7 1 1 8 1 9 9],98
[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0],5
[8 5 0 6 5 4 4 1 3 7 9 5 4 2 8 6],82
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0],6
[6 2 6 6 7 9 1 1 4 1 3 0 5 9 2 3],63
[1 5 4 2 7 3 0 9 0 0 7 7 8 3 0 2],58
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],48
[1 8 0 1 1 3 3 1 2 0 0 4 2 7 4 6],56
[0 9 6 9 0 4 1 8 9 5 4 9 2 3 2 5],82
[0 4 3 6 4 7 8 2 8 4 5 9 5 7 8 9],85
[6 4 9 3 5 3 3 0 9 4 8 6 3 5 3 7],79
[1 0 6 5 2 1 6 9 1 0 5 8 9 1 4 5],61
[2 1 4 0 0 5 6 0 0 4 2 1 7 4 2 4],47
[3 2 2 5 3 6 4 2 5 8 8 8 3 1 4 3],81
