input1,output1
[754 483 451 505 702 420 513 854 782 53 484 240 945],[945]
[853 496 14 578 143 82 733 756 423 35 401 793 482 743 145 394 553 162],[853 793 743 553 162]
[350 77 917 620 671 719 841 159 954 929 669],[954 929 669]
[187 233 377],[377]
[789 165 41 594 703 270 390 94 956 236 242 656 892 832 594],[956 892 832 594]
[963 703 611 390 450 977 272 939 718 837 428 951 451 94 310 509 411],[977 951 509 411]
[891 222 562],[891 562]
[783 246 148],[783 246 148]
[47 87 43 44],[87 44]
[321 375 738 691 531 510],[738 691 531 510]
[906 997 609 959 60 344 733 681],[997 959 733 681]
[404 455 761 967 331 10],[967 331 10]
[30 436 100 350 173 485 655 468 949 375 107 986 525],[986 525]
[293 857 815 988 841 220 823],[988 841 823]
[783 822 352 537],[822 537]
[244 279 145 608 878 618 213 985 729 264 497],[985 729 497]
[749 12 728 317 322 737 972 880 884 603 317],[972 884 603 317]
[419 928 699 393 674 919 277 267 247 408],[928 919 408]
[633 50 720 686 354 734 667 871 335 265 2 910 68],[910 68]
[634 663 205 407 508 600 549 189 613 380 829],[829]
[254 192 677 836 564 143 855 127 102 786 421 955 646 210 680 443 1],[955 680 443 1]
[550 857 809 665],[857 809 665]
[481 63 398 749 9 873 984 490 879 318 437 331 846 269 819 96 877 610 101 379],[984 879 877 610 379]
[501 944 393 572 166 820 648 600],[944 820 648 600]
[522 472 981 620 810 899 253 197 273 790 455 692 327],[981 899 790 692 327]
[130 653 96 418 481 362 108 649 809 254 839 849 369],[849 369]
[907 51 192 377 614 322 586 501 310 322 742 894 451 847 298 637 979 998],[998]
[0 1000],[1000]
[705 960 607 548 683 387],[960 683 387]
[215 199 130 450 783 133 302 236 716 444 652 920 874 356 249],[920 874 356 249]
[709 720 828 543 483 55 735 787],[828 787]
[994 962 485 934 892 263 952 123 723 350 299 807 408],[994 962 952 807 408]
[661 865 935 825 158 813 836 955],[955]
[662 108 470 634 935 85 864 113 777 483 298 706 192 301 955 759],[955 759]
[827 514 780 303 643 468 781 393 8 406 976 385 716 109],[976 716 109]
[10 9 8 7 6 5 4 3 2 1 0],[10 9 8 7 6 5 4 3 2 1 0]
[658 322],[658 322]
[242 13 380 873 85 611 868 721 94 601 720 927],[927]
[566 142 90 287],[566 287]
[328 369],[369]
[878 159 909 647 180 268 923 664 791 634 488 536 858 21 623],[923 858 623]
[663 978 294 895 900 750 873 307 239],[978 900 873 307 239]
[695 338 361],[695 361]
[246 523 429 328 898 275 176 435],[898 435]
[275 146 613 238 865],[865]
[417 892 464 868 566],[892 868 566]
[5 5 5 5 5 5 5],[5 5 5 5 5 5 5]
[686 291 815],[815]
[982 637 253 683 948 323 773 629 832 63 733 206 973 512 530 435 567 861],[982 973 861]
[644 406],[644 406]
[166 193 698 684 332 192 991 184 249 17 305 928 312 234 61 327],[991 928 327]
[651 328],[651 328]
[946 817 757 127 859 634 107 500 454 867 377 883 794],[946 883 794]
[356 393 315 207 846 942 198 473 361 700 724 201 193 975 863 955],[975 955]
[964 148 943 263],[964 943 263]
[591 815 647 696 131 762 653],[815 762 653]
[996 981 905 680 578 341 437 56 238 88 738 406 556 264 87 312 529],[996 981 905 738 556 529]
[533 911 728 426 354 562 448 349 823 9 471 21 676 663 189 821 708 749 554],[911 823 821 749 554]
[0 1 2 3 4 5 6 7 8 9 10],[10]
[928 393 364 570 937 747],[937 747]
[43 797 20 904 332 684 588 690 766 348 481 159 437 939 843 336 114 376 836],[939 843 836]
[189 212 794 916 170 555 941 468],[941 468]
[468 187],[468 187]
[43 977 211 462 28 474],[977 474]
[700 844 355 319 196 837 151 568 621 963 750 443 700 847 9 538 165],[963 847 538 165]
[541 195 735 506 238 616 545 359 731 375 368 354 900 260 104 962],[962]
[774 11 297 730 869 890 568 234 399 725 94 788 192 180 857 250],[890 857 250]
[45 579],[579]
[380 519 509 600 463 212 746 534 826 688 712 709 382],[826 712 709 382]
[447 362 554 112 979 233 250 869 570 384 227 570 232 753 726 197 95 390],[979 869 753 726 390]
[955 97 143 945 883 75 74 860 188 684 539 993 92 327 706 181 542 570 438],[993 706 570 438]
[421 57 847],[847]
[814 946 670 542 423 623 600 983 652 598 272],[983 652 598 272]
[45 440 873 169 214 563 43 950 388 162 725 271 48 177 881],[950 881]
[20 137 20],[137 20]
[888],[888]
[790 92 412 35 457 712 118 972 821 113 447],[972 821 447]
[114 684 590 87 722 215 394 187 912 620 325 152],[912 620 325 152]
[895 991 136 952 847 385 682 165 160 413 181 470 904 230],[991 952 904 230]
[982 300 678 102 893 353 165 114 550 37 573 991 694 133],[991 694 133]
[429 97 726 543 595 284 842 55 307 908 725 590 686 874 211 936 834 914 795 794],[936 914 795 794]
[354 835 368 875 49 948 446 535 463 913 706 681 933 476],[948 933 476]
[801 353 826 356 569 504 323 603 878 578 80 966 768 758 514 177 351 345],[966 768 758 514 351 345]
[776 930 435 251 433 373 734 786 846 858 170 446 872 604 928],[930 928]
[697 283 638 295 646 788 354 686 854 985 61 657 481 294 761],[985 761]
[899 367 291],[899 367 291]
[880 54 605 974 421 876 572 676 434 591 197 869],[974 876 869]
[370 865 706 497 689 337],[865 706 689 337]
[158 611 213 416 76 875 387 433 329 977 810 151 663 249 548 766 316 178 777],[977 810 777]
[431 311 642 800 853 185 12 418 247 551],[853 551]
[577 313 339 616],[616]
[707 888 798 994 248 51 401],[994 401]
[820 330 590 311],[820 590 311]
[735 445 206 893 832 70 889 162 743],[893 889 743]
[143 856 799 829 85 986 177 795 857 56 362 133 837 315 523 534 605 331 404],[986 857 837 605 404]
[105 429 636 679 246 808 228 661 351],[808 661 351]
[817 130 649 719 47 702 839 631 826 557 185 280 193],[839 826 557 280 193]
[273],[273]
[239 257 819 667 243 479 630 762 771],[819 771]
[887 144 970 561 625 85 372 498 295 366 872 30 734 347 282 970 753 689],[970 970 753 689]
[12 225 124 68 712 110 95 617 567 377],[712 617 567 377]
[656 312 272 148 934 873 179 95 274 783 443 986 82 60 80],[986 82 80]
[8 814 70 128 750 550 728 534 497 553 105 226],[814 750 728 553 226]
[552 553 367 37 866],[866]
[302 421 994 643 12 958 526 17 188 644 849 651 186],[994 958 849 651 186]
[278 18 789 523 28 970 316 114 487 587 39 55],[970 587 55]
[223 572 319 557 906 546 411 55 533 451 239 543 271 30 960 153 3],[960 153 3]
[452 117 401 452 817 722],[817 722]
[501 246 87 149 704 653 182 756 379 696 194 537 91 342],[756 696 537 342]
[],[]
[30 727 567 822 54 170 469 657 413 29 700 583 313 619 957 110 110],[957 110 110]
[692],[692]
[413 547 795 637 207 633 307 556 685 673 587 348],[795 685 673 587 348]
[944 344 806 0 484 672 748 137 587 676 115 515 17 928 639 428 956],[956]
[955],[955]
[309 97 234 569 493 860 114 918],[918]
[193 319 278 864 641 401 901 980 747 106 53 839 400 40],[980 839 400 40]
[766 789 626 651 588 426 94 118 827 323 812 443],[827 812 443]
[580 734 980 542 737 548 776 825 812 385 435 840],[980 840]
[91 475 955],[955]
[709 802 911 568 425 344 312 489 763 159 176 608 623 265],[911 763 623 265]
[221 266 116 930 893 280 514 240],[930 893 514 240]
[455 407 37 579 409 305],[579 409 305]
[787 803 937 481 686 235 560 557 906 764 116 94 407 627 517 150 927],[937 927]
[774 699 709 548 610 752 788 702 43 732 11 669 474 501 408 535 455 263 433],[788 732 669 535 455 433]
[0],[0]
[544 446 271 273 916 65 802 292 498 63 795 208 876 556 382 907 642 455 59],[916 907 642 455 59]
[666 208 841 219 47 153 119 421 354 506 855 500 486 52 355],[855 500 486 355]
[51 430],[430]
[144 964 377 892 153 154 269 75 972 860 126 360 121 124 489 394 303],[972 860 489 394 303]
[2 933 147 695 974 463 356 534 271 654 443],[974 654 443]
[216 596 207 663 638 111 411 433 655 23 530 584 373 490 468 488 200 690],[690]
[762 525 395 622 594 556 575 391 955 27 598 193 446],[955 598 446]
[318 767 201 484 184 240 116 223 387 289 38 832 898 332 629 881 357 603],[898 881 603]
[497 216 412 408 423 119 455 914 962 122 102 889 851 331 419 672 192 600 172 856],[962 889 856]
[192],[192]
[968 780 653 420 558 675 758],[968 780 758]
[106 332 574 822 820 237 169 207 235],[822 820 237 235]
[561],[561]
[640 461 740 440 588 536 311 330 380 31 278 607 739 975 210 190 846 874 402 813],[975 874 813]
[883 176 312 926 905 674 101 926 209],[926 926 209]
