input1,output1
[622 608 838 472 150 57 422 951 84 197 81 852 981 888 791 988 709],[988 709]
[656 312 272 148 934 873 179 95 274 783 443 986 82 60 80],[986 82 80]
[5 5 5 5 5 5 5],[5 5 5 5 5 5 5]
[749 12 728 317 322 737 972 880 884 603 317],[972 884 603 317]
[404 455 761 967 331 10],[967 331 10]
[420 824 573 894 562 448 600 14 56 898 745 22 953 160],[953 160]
[655 810 616 149 784 799 596 215 678 428 843 738 285 409 275 837],[843 837]
[541 195 735 506 238 616 545 359 731 375 368 354 900 260 104 962],[962]
[817 130 649 719 47 702 839 631 826 557 185 280 193],[839 826 557 280 193]
[994 962 485 934 892 263 952 123 723 350 299 807 408],[994 962 952 807 408]
[651 328],[651 328]
[92 334 55 471 311 842 688 264],[842 688 264]
[88 747],[747]
[413 547 795 637 207 633 307 556 685 673 587 348],[795 685 673 587 348]
[45 579],[579]
[278 18 789 523 28 970 316 114 487 587 39 55],[970 587 55]
[246 523 429 328 898 275 176 435],[898 435]
[244 279 145 608 878 618 213 985 729 264 497],[985 729 497]
[158 611 213 416 76 875 387 433 329 977 810 151 663 249 548 766 316 178 777],[977 810 777]
[980 298],[980 298]
[0 1000],[1000]
[429 97 726 543 595 284 842 55 307 908 725 590 686 874 211 936 834 914 795 794],[936 914 795 794]
[580 734 980 542 737 548 776 825 812 385 435 840],[980 840]
[862 748 889 773 308 616 126 937 656 890 425 549 41 928 986 23 964],[986 964]
[913 344 924 740 801],[924 801]
[114 684 590 87 722 215 394 187 912 620 325 152],[912 620 325 152]
[955],[955]
[354 835 368 875 49 948 446 535 463 913 706 681 933 476],[948 933 476]
[1000 0],[1000 0]
[776 930 435 251 433 373 734 786 846 858 170 446 872 604 928],[930 928]
[944 344 806 0 484 672 748 137 587 676 115 515 17 928 639 428 956],[956]
[451],[451]
[970 367 160 776 738 38 148 929 302 158 666 584 337 926],[970 929 926]
[778 540 222 569 548 69 253 49 262 632 329 45 96],[778 632 329 96]
[965 82 585 347 77 32 135 530 872 956 626],[965 956 626]
[497 310 64 146 368 737 261 909 499 274 132 599 856 730 768 252],[909 856 768 252]
[526 826 682 184 437],[826 682 437]
[419 928 699 393 674 919 277 267 247 408],[928 919 408]
[413 142 999 0 618 917 807 582 830 587],[999 917 830 587]
[302 421 994 643 12 958 526 17 188 644 849 651 186],[994 958 849 651 186]
[862 846 922 561 966 418 894 370 175 157 229 357 317 482 537 272 55],[966 894 537 272 55]
[409 605 501 219 329 209 331 348 665 836 490 232],[836 490 232]
[313 827 377 776 931 324],[931 324]
[862 530 398],[862 530 398]
[973],[973]
[501 246 87 149 704 653 182 756 379 696 194 537 91 342],[756 696 537 342]
[51 430],[430]
[20 137 20],[137 20]
[907 51 192 377 614 322 586 501 310 322 742 894 451 847 298 637 979 998],[998]
[964 148 943 263],[964 943 263]
[],[]
[47 87 43 44],[87 44]
[880 54 605 974 421 876 572 676 434 591 197 869],[974 876 869]
[787 803 937 481 686 235 560 557 906 764 116 94 407 627 517 150 927],[937 927]
[878 159 909 647 180 268 923 664 791 634 488 536 858 21 623],[923 858 623]
[544 446 271 273 916 65 802 292 498 63 795 208 876 556 382 907 642 455 59],[916 907 642 455 59]
[431 311 642 800 853 185 12 418 247 551],[853 551]
[697 283 638 295 646 788 354 686 854 985 61 657 481 294 761],[985 761]
[421 57 847],[847]
[21 308],[308]
[105 429 636 679 246 808 228 661 351],[808 661 351]
[513 719],[719]
[468 187],[468 187]
[254 192 677 836 564 143 855 127 102 786 421 955 646 210 680 443 1],[955 680 443 1]
[450 650 99 705 191 517 169 235 948 166],[948 166]
[695 338 361],[695 361]
[928 393 364 570 937 747],[937 747]
[0],[0]
[318 767 201 484 184 240 116 223 387 289 38 832 898 332 629 881 357 603],[898 881 603]
[497 216 412 408 423 119 455 914 962 122 102 889 851 331 419 672 192 600 172 856],[962 889 856]
[963 282 89 23 201 443 759 923 599 496 946 225],[963 946 225]
[906 997 609 959 60 344 733 681],[997 959 733 681]
[982 637 253 683 948 323 773 629 832 63 733 206 973 512 530 435 567 861],[982 973 861]
[698 137 939 103 371 12 575],[939 575]
[552 553 367 37 866],[866]
[447 362 554 112 979 233 250 869 570 384 227 570 232 753 726 197 95 390],[979 869 753 726 390]
[10 9 8 7 6 5 4 3 2 1 0],[10 9 8 7 6 5 4 3 2 1 0]
[887 144 970 561 625 85 372 498 295 366 872 30 734 347 282 970 753 689],[970 970 753 689]
[658 322],[658 322]
[686 291 815],[815]
[735 445 206 893 832 70 889 162 743],[893 889 743]
[0 1 2 3 4 5 6 7 8 9 10],[10]
[663 978 294 895 900 750 873 307 239],[978 900 873 307 239]
[963 703 611 390 450 977 272 939 718 837 428 951 451 94 310 509 411],[977 951 509 411]
[783 246 148],[783 246 148]
[221 266 116 930 893 280 514 240],[930 893 514 240]
[273],[273]
[187 233 377],[377]
[192],[192]
[577 313 339 616],[616]
[378 386 254 32 261 270 531 341 380 587 765 453 819],[819]
[882 548 285 43 836 295 126 119 560 367 378 159 532 851 704 270 498 833],[882 851 833]
[105 536 851 398 363 191 690 304 210 776],[851 776]
[662 108 470 634 935 85 864 113 777 483 298 706 192 301 955 759],[955 759]
[766 789 626 651 588 426 94 118 827 323 812 443],[827 812 443]
[774 699 709 548 610 752 788 702 43 732 11 669 474 501 408 535 455 263 433],[788 732 669 535 455 433]
[707 888 798 994 248 51 401],[994 401]
[801 353 826 356 569 504 323 603 878 578 80 966 768 758 514 177 351 345],[966 768 758 514 351 345]
[519 570 142 815 739 291 744 340 866 873 237 758 28 586 768],[873 768]
[8 115 3 615 142 552 831 372 262 715 100 59 663 514 261],[831 715 663 514 261]
