input1,output1
[878 159 909 647 180 268 923 664 791 634 488 536 858 21 623],[923 858 623]
[801 353 826 356 569 504 323 603 878 578 80 966 768 758 514 177 351 345],[966 768 758 514 351 345]
[651 328],[651 328]
[965 82 585 347 77 32 135 530 872 956 626],[965 956 626]
[907 51 192 377 614 322 586 501 310 322 742 894 451 847 298 637 979 998],[998]
[964 148 943 263],[964 943 263]
[451],[451]
[114 684 590 87 722 215 394 187 912 620 325 152],[912 620 325 152]
[450 650 99 705 191 517 169 235 948 166],[948 166]
[420 824 573 894 562 448 600 14 56 898 745 22 953 160],[953 160]
[776 930 435 251 433 373 734 786 846 858 170 446 872 604 928],[930 928]
[0 1 2 3 4 5 6 7 8 9 10],[10]
[20 137 20],[137 20]
[526 826 682 184 437],[826 682 437]
[655 810 616 149 784 799 596 215 678 428 843 738 285 409 275 837],[843 837]
[0],[0]
[656 312 272 148 934 873 179 95 274 783 443 986 82 60 80],[986 82 80]
[105 429 636 679 246 808 228 661 351],[808 661 351]
[92 334 55 471 311 842 688 264],[842 688 264]
[862 748 889 773 308 616 126 937 656 890 425 549 41 928 986 23 964],[986 964]
[5 5 5 5 5 5 5],[5 5 5 5 5 5 5]
[419 928 699 393 674 919 277 267 247 408],[928 919 408]
[318 767 201 484 184 240 116 223 387 289 38 832 898 332 629 881 357 603],[898 881 603]
[244 279 145 608 878 618 213 985 729 264 497],[985 729 497]
[404 455 761 967 331 10],[967 331 10]
[378 386 254 32 261 270 531 341 380 587 765 453 819],[819]
[880 54 605 974 421 876 572 676 434 591 197 869],[974 876 869]
[47 87 43 44],[87 44]
[862 530 398],[862 530 398]
[882 548 285 43 836 295 126 119 560 367 378 159 532 851 704 270 498 833],[882 851 833]
[787 803 937 481 686 235 560 557 906 764 116 94 407 627 517 150 927],[937 927]
[10 9 8 7 6 5 4 3 2 1 0],[10 9 8 7 6 5 4 3 2 1 0]
[409 605 501 219 329 209 331 348 665 836 490 232],[836 490 232]
[],[]
[0 1000],[1000]
[88 747],[747]
[1000 0],[1000 0]
[413 547 795 637 207 633 307 556 685 673 587 348],[795 685 673 587 348]
[429 97 726 543 595 284 842 55 307 908 725 590 686 874 211 936 834 914 795 794],[936 914 795 794]
[973],[973]
[749 12 728 317 322 737 972 880 884 603 317],[972 884 603 317]
[994 962 485 934 892 263 952 123 723 350 299 807 408],[994 962 952 807 408]
[544 446 271 273 916 65 802 292 498 63 795 208 876 556 382 907 642 455 59],[916 907 642 455 59]
[501 246 87 149 704 653 182 756 379 696 194 537 91 342],[756 696 537 342]
[980 298],[980 298]
[963 703 611 390 450 977 272 939 718 837 428 951 451 94 310 509 411],[977 951 509 411]
[955],[955]
[887 144 970 561 625 85 372 498 295 366 872 30 734 347 282 970 753 689],[970 970 753 689]
[513 719],[719]
[192],[192]
