0,"[0.0, 0.0]"
1,"[np.float64(0.045), np.float64(0.02)]"
2,"[np.float64(0.04), np.float64(0.02)]"
3,"[np.float64(0.045), np.float64(0.02)]"
4,"[np.float64(0.03), np.float64(0.015)]"
5,"[np.float64(0.03), np.float64(0.015)]"
6,"[np.float64(0.045), np.float64(0.02)]"
7,"[np.float64(0.03), np.float64(0.015)]"
8,"[np.float64(0.045), np.float64(0.02)]"
9,"[np.float64(0.045), np.float64(0.02)]"
10,"[np.float64(0.03), np.float64(0.015)]"
11,"[np.float64(0.045), np.float64(0.02)]"
12,"[np.float64(0.045), np.float64(0.02)]"
13,"[np.float64(0.045), np.float64(0.02)]"
14,"[np.float64(0.045), np.float64(0.02)]"
15,"[np.float64(0.045), np.float64(0.02)]"
16,"[np.float64(0.045), np.float64(0.02)]"
17,"[0.0, 0.0]"
18,"[np.float64(0.045), np.float64(0.02)]"
19,"[np.float64(0.015), np.float64(0.005)]"
