input1,output1
I,I
&&4m_Y,4m
";jxGux:{cghfz|R]hK(;jw<a8 bN""g9+Gy.K09(0t",j
rad(,ad
b5[U~-.nAx{#?vg^()~'8^EILGi5MkLixU6,)
"=k[]xZeJW08k0H*T2KYW_DbPH0}cnU<,s]HBa",Y
"[K[O>k|r,EQ;E{gk9}|Re{m<TZ=2{\oo&z",9}
"vDEAgOq^W6nS;9U(+`UWk)]M2?dT{aFb/+8M/<}4'/+ @3lf~0DM;""+eY]KDJah1l4xb.E+yVfEq?^sk@@",'/
"vC}5STZ<=SdKRd2r!wH*9amtD$Ta;PDJ%R.pz{k*_?$cR[I-y88wa_Jv{""8;{ywUO-X}WYqg|bKRBlp%,0YTBj",$c
FPWc/0&{Z)4,0
6M7u#rCj]qX]Kkm:CH$_16&}\4T,k
DAGx?2Kef/7R(aU-F<5aT-Q.1^ueD5@i02\2*g9q)2{)2KccI,1
Q(Pkg^nXcEZ<zj6<.k&-hYkO]8=sB vB`z)N}6=^Zep-:g?.HW2uWc\>p6z)}&O{5V%>K8}*f9MilR(fZ!_)@7^r2`weB-^Pn,H
"R$}H^{}4,~,)9wx}jQ3W?]B(;a4N",wx
"?ejDjy`y`ssI,H WIg]fXS]-DUy2pi*W",WI
"uQ,4K!R1cs7S xB3!hPavwfQZO7syjN0mtL(",hP
^]8v}Q{/0UE:o8T<PX8]dFs1sN,o8
"Tbbm;Uklx0u^$b(6qSjJaKuUsad&(>:B}.mb#z}Kx(zi!ynfW,""!AxfC q^EbKL-cM6,07h[s8y!d*)H'4&k+M}QeE",!y
"P:=),$N3^DYDloV,)%{/1JF>[$Z!wq7@E-2EV][&{p}?E?fenNb@.q$-2yLl;j=POf:|^0",2E
Q-_)fwV,)
"Q\Y\DnX`vr)47]a!0/gpf?,|`w`m_&<m[9{1,fWmajATY|u{3RH;(lnD\GziT""P'5SAu F3zBXIBiX)Y0qKX62^07zuAl3c[!eX",R
#SE\c<r,\
"GP'e3iRN9Du0m,S#/uj(a7IM-rF \rLbHIpf+v""?PW((ks0]wcD$=B4d{1qpl8?FdgC<~&DX@y$+^QF6q$1Vk/%9E%e/}~] yeJ$",cD
DOG,O
"eyb<G)X|F~~AYt1V av2{@ARp~5N} JD{l_7c%`*~}hd\lF,|gN@l*FqShu^,pStG$iADQ86;)\]tZ7-u:""OYnENHn`?rljb",",|"
w{-)GcW<7s,Gc
"3.\_)""~!I=<$4f|OUeF{FR",<$
[czG[)wmG?u~x!T_a7AiSi~jK6Gfh3yR354,7
4(,4(
 , 
"WugZr`L,y^z9LAz81>u3zq<R6.}tT*l&y)E.9L%F/+ZtH~Jj!.5RQCWkics&L* Gw~",y)
"AnHr/j${5@8R7YamL1yjY/$@2JF:7&8'G?N<^m(~Fx;.'""@L(8S};f2I,",7
"}m}A0xfjBM({?)~5u7&4&1\75=6I[5StK@{,dC;FFY!e>.e?uo{[,:M@D55|w-yA]S@R+e1,0I""mP6]""H",F
OGD,G
",+gox[XIIe. )]D`@~B+dV#wwvl`P6IE%3GoA`Ji4-9l.NcJv%%gmXld)o|zIITy]kvvx",G
"1B=""no0opo`2buG+h*hHEXds7hF&uMQU+w@V~sqDlQ`$[]}f(-\s#0gr=ai?<5)1@YYC?30OXf~x^sk,m:?AYsH_oLgl)",}
<uzn_5G85?EtL8]@6EjFEE_ 3*wI?twl%23(uKYvofAd5s;.tO>^@tM}(,?
"lFDV'N,!F(x \-!A'Ki.gqs;,GD-""6Poc,[L`q",i.
;I/]v#!;:-*Ou@n5WmVA#;dxFV;U$g-6Spz07PnP)MOb`~mSHNu1de0X,U$
"p~U#+=vu=Bl#<tt^_xKoRqhi$\R#%rKz""uf5q*J[MG89nZB+RZAH6L:Nf!0",r
"OUeZitsQC)y/hl71X9Asi)W7M""'FP_3H$i}U4,ZFi8?{",)W
T`)P)55sXD^;*<?sQ1xMlfbbn,*
"8t9b:HC`!;{(ioZ""1O?+#E^[(\%#Xe]*nXF-eZ]n ",#
"YhtB~ _g<0;(SqB[{X@lk 6p/W(\j&#xf5Yf*cHY<Ym~w,8En{Q'$u&R0L;+CrM0W}2X",5Y
":""||#Hoz{ZrGq|!}Jw$R4'`MJ-IWCf1D""@6W7~#P3L7%6zUqQH^=3DK3FtiOCcsBK8g8W[_X3_N5g0J%A37_aSAs%;O|N",U
"`U+8'!mP|!Dk0% @a3'=DNTR(P76X=)W""5rvuSDW=4pB+p{=3Nq1n>USutq",=
"/hVKoQ1uU\^S!oX2B_,st,vi,\Ut/|48ZI>$Yo~;8zL.d~1<w)i(gy[$_;O>;&Pz5)fvNsp+Rj^xE48q*xW",z
"=*{xXpte?^Zj`#DU&8y8;bGA?J{+]R._eF;}UN""/\jj1a^Nn|vy'b[Zo#~+SFk.O-xvcG`Hc#7h318Z J9SQ'&'=`",a
OWaw\pTMG|HAj:(?A*33%K/gW,j
l}D6JGP,6
"y*s:<'MI0=@\Ga$0o{'{a2umI<NO5$UJKY3`_El""7Y)GVkSAf\&",<
"%7ZI%5h8U$}$cm'cDCH8}-cItJxEz~2\{e:um[GdyZ6KnAoRIn@a""",x
raiWKL0A9K:.h@xI2GEf}W,:.
YiG?Wz5n0/inTw>Kd!y!>~x]@}K,w
"3G!lRr];3#tTD28ajb6h|+VrhE->q@NSJpW*rQD}\2?~wOgQqE/i]cJz?d`y?W/`,F]yZ7aAo+""cBjf`e",\
"I7tvp6$>jC)j(q(f;=#E""gHsk0bvOyK_JQg8{V8l|q*:>hqb(4c[ctL2Cb@qZM=>?> 0U/@",8
BXBJ,XB
"?$*\k~KPG63,RW>($kYSMhF>@]\JY?mEoNeo={=lb| W:#uTChk^D 8J49?2~>P""}=d,1%olcx",={
"4F8WK""^,ik_aX7cS>d[RVz\5Fow1cagh^JF.q~A9G6<o|.?",5
"lzaEo[>DieZr_4L=vJ[""",eZ
}DTlF=nAcD(pYbT&k:$}kLKcq%]e9a9;d=oiJk=%1j:aa,K
"$1x*@B,[g*z({?=uwNGq<Ts--oX*tOQM`li/j'OD=z.z/(@[Rf@_|8o! H!",O
"2qbnsDcubRa,NLIw+{",bR
      ,  
