input1,output1
"lmaHcsg""kfV6B@HHq'J:`H</E,x25WI;h""@p)&791i'R]*Ej19}",","
",+gox[XIIe. )]D`@~B+dV#wwvl`P6IE%3GoA`Ji4-9l.NcJv%%gmXld)o|zIITy]kvvx",G
"*AfA1K_fg-fH1'lxvqi#Oq>YGa7'}epkOM}UeTg\DiNPWl:!1WNG\hnY""L<s!pqjsZX(Gl9{""R/, x[ }'=",i
"2W2UUww_92X5yQlB+cx7vV""",5
"'D+cv(_o!>""vxS4 eYEAw?uC{ZQ7Qa[rc1% Ls]c++wDSz_SZhg~{G!<KP",Qa
"3KH3|r=U f_+S|HS;HB%~p=nN(""@4!G4S(V",H
"vRu,i{!P=C.|u0QXFSJ ,MT=pVu>M[>`KgY1x]TB[{cy-5M2=S06<OSopmMlB{es3?F.",gY
D)qN9z'P@xx<8s,'P
HH0@Y\2kFJVh..oQ#EZ|>B:eqd5V+Pf[ft;n&X3H%ygRGe((Oga,d
T`)P)55sXD^;*<?sQ1xMlfbbn,*
tZM{J+$fnQ7OIGT}$`z?xCgC'p=GOal9x*kopL&=OUP[0d=6/i75,p=
w{-)GcW<7s,Gc
"Tbbm;Uklx0u^$b(6qSjJaKuUsad&(>:B}.mb#z}Kx(zi!ynfW,""!AxfC q^EbKL-cM6,07h[s8y!d*)H'4&k+M}QeE",!y
"JW^c2~@Di\T^nmxQ@I=(TzbTzQ+JKF]\n+G@!bvj""(I=ZY$m/0Va/TzA3Z'oR.;",\
"AnHr/j${5@8R7YamL1yjY/$@2JF:7&8'G?N<^m(~Fx;.'""@L(8S};f2I,",7
f!FA2a\07%%8';ut^dpU^Jb@n-^~nDu3-6>%h`ym\V)} h,b@
"/'nGiM0lX9L=y:E<~azM7M{""7ZX$>-wdjM",~a
"JEVr_$88wD-cGe{""/IrB0s:rn",G
"Rm4v""+A~b|(w:L1)3d2jHWKE7O[`!AywCj)\gpn-XiAC4""",KE
"7}EPhSEJnU>yunf=Q9TGl""",>y
"\t(/i%B2si)aE@1xsDz)2 L%w]Ek/n>/!*= 6J""74T%.u}D_<q4Qv#=Zj.Sr~QZ,}6CU,7XW2Jlie;:rcX?=8L39YTU]W- F8<z",q
FPWc/0&{Z)4,0
"=*{xXpte?^Zj`#DU&8y8;bGA?J{+]R._eF;}UN""/\jj1a^Nn|vy'b[Zo#~+SFk.O-xvcG`Hc#7h318Z J9SQ'&'=`",a
"3""H""q=%$,DHOVm\#{-{XqAAhp1epWj$EeIl{HTuQb<so0sy",h
"""@aZ}(54szWIslK_3flZhtVd?|G(!7C 5blN9}M~Epm~O""*&z|G1wR:#/edfdikZ,wT5kX0pSHKs|')9%#HjmC",m~
"VDy7nJ.PVkA8F-f.+r,M8.^?sJ%m&?GEgX?+J_^sw%L5A4w%;_|z;%Ej|~H<M!IMv30DivBhpV",J_
@:ftTh,ft
"pF+<mFTrQUgYao]vr&A)PoOlP.`G'c]k.=K1'd S`'M@,kP3-<-VYH]^>'OPr\5B1n67",=K
"?OwId?C1h3JWkJ<s__pdgx'_=RM9QTRrwa*xRS$fQI,o*x?J{6G""KXO[]pvo;ggt!GW^u}jtedQR}7|irzB2~>J;zXsW?z",?J
"1.+[4CKra ?>By[&.B1,0 'P:4d3U2Oz_zDo[X'a6jl%}hF-?<P5EE^Fr;/C:hf""?rl%(3Y(Zr4;YXE){S+I",jl
b5[U~-.nAx{#?vg^()~'8^EILGi5MkLixU6,)
x9e\(4)_JccEI}YkY3HE_eTGo&p]KhZ,k
";tXu^4`q)p]FVxbjow?bK]h^UyF8xWGS1U,!!^|~L)5)KNx9""faTM. d]\@=tpM| |d",U
"K%O.0i&~EPpgqtVT5|Mwlcu/H}WVk&Y""165q\`f;<W-\9dpw=i+pnD9bWCI6Ty3;2*U<NTFTO*=Sl9M=vgpKM/^[gTF}^^,",w
"nqC=lK@sb3^Ww""zWR8[RWqpjE;m4BL~dR|B[l+=ruzv<(e34hCJM1|P",4
"IgI|{)hl5n=;GrGKj2@q j028O$^]W\10]:q)?1\,w7cehe<3)eUBntF_3KKb<E@}yR'S>8dNJXC\f=ZvI""gz*U9-9IuZQ",e<
"R$}H^{}4,~,)9wx}jQ3W?]B(;a4N",wx
"~LA EO|No'J>EVC=zJ{Q^),bGp6Eq7hjz}%VXcvJLX%Q~",","
Q-_)fwV,)
aWEE#')%M@@F40!]mGL>Fh;y|}d=:+)._:l%`NPEs4F4<eSkBMG\6U,d=
"hu|nEq5AN na%!^^suuHSu?Nc7=CMm'U-M+vtS7-8H$5c?g':1?_wHMdz}y\Lft@C;HrtMn.^]fa{?il""j+;dwzGlG",c?
"&Z O{DS& MySP;1-IJG,<?;/LC*x,6~F=|n.)\","G,"
"q&pT17:,`Q3#SY8UEIf>9d<<xux*%5 6/$vz.1#rJ~Y +`\=!b(y",ux
"6""n+6bx,5$""4^8X~mU&W'/,9*rL^@l?8's~iD#O[i u.CL(F/9IMQVUFsWRzxX'*N:&sY)HWr$*o7Q ,~mm8lgYOKTr?2;k{ fYy",9I
"`U+8'!mP|!Dk0% @a3'=DNTR(P76X=)W""5rvuSDW=4pB+p{=3Nq1n>USutq",=
"?(1GiZTo&b<zag]-a!{5hs=S<v Ld*MvEm'?-jv6.?!bc/kdqrB<`)+vca,?aDAz}c<2X>&_3b4\r3_J8Tp.CPyoIt#BCPQ`W2P",r
DAGx?2Kef/7R(aU-F<5aT-Q.1^ueD5@i02\2*g9q)2{)2KccI,1
test,es
"e#gy9/:qbt%2sn#+O$-ezBT{evZ,8Ao9l2\/2g<Z`f,%I\=Fg/N5Zt""Rk+380\:t[z)XV8dXUEtwt3c$?3rU=t}v",%I
"1zXbh+#(7{[n=n*2aPeUBe<T2Q>h""r9Ry@K",P
)b,)b
Sa=Z(:^{&qj!EwFlj^{nJh.VSbD D!_+6e<$JRRP7KY~W>>4;OsspGzYaafSrwc6XAo LZ4zbSG+Q={jo#_3E[ _,~W
&&4m_Y,4m
Q,Q
fJ^FN!kWEq= 0MNcY KYZg*HKamsWyR5`S_\!0qB^]21y(n/]BqM5n=8D!v>Ocwix|0l!|\g:Y.K^~uohQQ}aVcP&X;+N%>6,/]
BXBJ,XB
"vDEAgOq^W6nS;9U(+`UWk)]M2?dT{aFb/+8M/<}4'/+ @3lf~0DM;""+eY]KDJah1l4xb.E+yVfEq?^sk@@",'/
"3G!lRr];3#tTD28ajb6h|+VrhE->q@NSJpW*rQD}\2?~wOgQqE/i]cJz?d`y?W/`,F]yZ7aAo+""cBjf`e",\
'p!Xy!][@K&^4hy7+>8i.'soZm3OI?F5qag=rhA0b*H]o,s
\,\
"D&XS\,R`$Ay]<aP?s]m:l_r%m<KP 4o( `<+TN}Tvmx*j[jFXdC{F|9\(B$yY1Fk]/nf5'[qa#AiRQ/b~L{Z/#8{(eAW8u",jF
"p~U#+=vu=Bl#<tt^_xKoRqhi$\R#%rKz""uf5q*J[MG89nZB+RZAH6L:Nf!0",r
      ,  
"?ejDjy`y`ssI,H WIg]fXS]-DUy2pi*W",WI
|]w>F%-F1}&xasudXxMXy/[Va_QS- U~@1toOuZepg)WNyTjL,a
"&(*/g_5oqjE,5PZPbaIhmxB gvnLgiWQ1b,9=<mH^oX#:<rbIy 6C]R[(&cMPCxl{fJE","b,"
middle,dd
nCZi.cVw&I\8G@\MK0SjM]Q=>{Sy:anuQM/~!#] TjqBgr/.x;Iim=Q7PFWZ9K`Y&I`W*KD=,~!
"lFDV'N,!F(x \-!A'Ki.gqs;,GD-""6Poc,[L`q",i.
"WYGSMh4C(zChEb`*~l^kR4eQO92{sT~_'adiKj^!'&mC\o#}(7A+9f,#@Y(dc",~
"*DfP/2VnQV(hcHYj{?Rl<e}yP?<jQ&g'{mK('~Zr34ZzQ<~q~m{0'JwJ#$lC,4sS.Pl3<skCUVpRm\8)>,Co>ql",z
"uQ,4K!R1cs7S xB3!hPavwfQZO7syjN0mtL(",hP
"WugZr`L,y^z9LAz81>u3zq<R6.}tT*l&y)E.9L%F/+ZtH~Jj!.5RQCWkics&L* Gw~",y)
"OUeZitsQC)y/hl71X9Asi)W7M""'FP_3H$i}U4,ZFi8?{",)W
rad(,ad
4(,4(
[czG[)wmG?u~x!T_a7AiSi~jK6Gfh3yR354,7
raiWKL0A9K:.h@xI2GEf}W,:.
"s?""'X0","""'"
")&X{qg9d=>g>=J""n[Hnd7uK+&N""=k/%U(#J,:osN/R+P.Qyq:I@:?0>O.B3:B\iMw&tco,Pd]8PfZtF0v{""w",R+
:(iyK,i
"k7h[I""4O[H{L`3`'{-B=J{\qg_+!#yuOYP5SLK+~p",J
"$1x*@B,[g*z({?=uwNGq<Ts--oX*tOQM`li/j'OD=z.z/(@[Rf@_|8o! H!",O
"5p&blv&IU>fS9^q>J4""M^({ZMTp'GA+t1TD-DqMg)cN5*]zIPsa=,~mpBv",GA
K0&}@u$CcsScm5vsDJ}RLHP#I1c)I,v
;I/]v#!;:-*Ou@n5WmVA#;dxFV;U$g-6Spz07PnP)MOb`~mSHNu1de0X,U$
*,*
",sVUrLqd2^fTK:=`$%=;/6NPq1m6(JUA%t b9v'Vv($ }",N
