input1,input2,output1
[35.409672588722174 66.2782185098987 -46.976762000480136],[-58.8891982600994 13.649408705409144 -70.54449652767825],110.5328312111128
[-63.88206305171988 50.6482032448929 76.90662643985198 3.848710604628593 -96.73005934312621 -39.79365774463308],[91.52144986983984 -29.20738812668702 -26.950833363428202 -31.02779201424879 -91.38719572364897 -54.40798717905133],206.8140094622574
[0.4378 0.634 0.1234 0.764 0.243],[-0.254 -0.1223 -0.19582 -0.8971 -0.8743],2.2715833329200144
[-21.828492018410415 -50.37981698358074 -76.81290202297234 -54.661737919246356 -42.900752581937155 -28.009803833944773 -98.49306675796193 -55.57401319375184],[-74.33786553906393 25.757893122006294 -29.454813834136388 67.4699686280025 -33.057205173701746 35.35356019298882 -1.5118711084639074 28.187179304513222],215.04936287611804
[-80.76848683584228 -43.56410806691014],[79.61852593776925 63.06866840236566],192.59943635428732
[-89.81404813055347 7.5249998848349975 76.0809765445942 -40.00002930420088],[-12.992918245542 -68.06207273631124 72.32012546665118 -84.75639740789309],116.7568757329002
[36.210487252130605 8.124729539185921 -84.49134338382808 -73.93537498265366],[-91.06247854665861 -43.51047284248855 -30.16297291657446 -52.53190843241904],149.24571071293948
[20.64755868918428 -52.925275281544046 -61.470556045694515 0.2234989986662015 -39.239451078322006 68.82229713750075 95.47145051173553 86.9776414109935 -26.840162260956262 -61.52440430585146 42.65107746201403 -16.618624085180272 -2.2692041503281217 94.53597310680865 -1.9764741063835771],[28.353153592015587 19.255651210370587 -26.330710320411626 32.87951606980158 16.75933646227736 -12.594438026508797 -72.9238357477695 36.07418969515791 -93.0083051204357 48.20594648357911 -86.86192871626291 -46.668976165965795 3.310066721475579 24.77419965278152 -99.1331973616551],310.99235837612844
[95.5457321473016 71.84168283785286 49.924042654819374],[-3.5898153265315926 -78.48817966229637 -58.53641815083037],210.21559383267527
[42.91283],[-22.134],65.04683
[93.16714314357048 35.664714059835234 -70.48393536572048],[-68.94024584092037 -15.819977535015383 -37.48039932276497],173.2590904493169
[26.278123662480752 77.61346403897801],[85.22264536365296 -20.283852155941446],114.27309900736918
[46.92377834450406 52.38681704990586 48.96621833834868 74.20067958616153 58.70886414993427 -46.83264262078764],[-91.68717567195719 -53.9691511163642 -11.580730814561406 -99.83113312424956 -49.16473658671505 3.14699134320297],280.3787990772472
[-54.08050101605228],[71.8623840419728],125.94288505802508
[95.89684190922608 81.15723260464122 -95.6822869478623 54.43567552014386 -26.164910110656663],[5.816111633201174 -16.67414009145496 -25.244653256101174 59.50620777222804 90.3770985322268],190.40673771323455
[12.885666034165169 54.18427514324898 62.527930133152864],[-81.31130975810362 -29.840395777019424 56.5344219074978],126.3690536188337
[-56.012758916103486 -32.51622388762574 -34.00802989327852 -78.25081629736961 78.53820610123574 46.54866063264049 -20.625443578940178 75.23659951254115 49.3010663016629 89.53681179598843 70.90673165507678],[46.807579473545644 28.690176479863112 -37.82248914232662 58.483049389323924 51.25437726784932 -57.30844841419338 46.739378074716655 -17.75906693111679 97.4216140704219 -69.49051213431392 37.75242111320935],294.0244043070346
