input1,input2,output1,output2
[277 3127 -188 1445 7641 3412 -2483 -5357 -3457 6542],-5080,277,-5357
[-9664 8051 4990 4198 5230 -4335 -5492 994 1256 -256 9894 -9569 -7492 -5408 7260 -2441 100],8516,1256,7260
[2650 6057 7986 5430],8080,2650,5430
[-14 5],-9,-14,5
[4742 2691 -2860 5513 2172 -9231],7685,5513,2172
[-2156 2808 5575],8383,2808,5575
[1 3 5],4,1,3
[3761 -1416 -3804],-43,3761,-3804
[-4165 3030 4327 -8278 3151 -8603 7659 -8930],-5900,3030,-8930
[3174 -8792 -6758 -4497 -3264 -1690 8446 964],4138,3174,964
[-9100 -1911 -2150 9609],-11011,-9100,-1911
[9492 -3791 -7317],-11108,-3791,-7317
[-1 0 1],0,-1,1
[-1 0 1],-1,-1,0
[10000 -10000],0,10000,-10000
[2500 6352],8852,2500,6352
[1 3 5],6,1,5
[237 410 -777],647,237,410
[1435 4488 -9727 -1775 3294],-5239,4488,-9727
[3085 -4615 -4840 7622 -6043 6375 -5280 -3767 -2926 -8478 -3141],-13758,-5280,-8478
[1 3 5],8,3,5
[3437 7905 -3641 -8731],4264,7905,-3641
[14 -35 78],43,-35,78
[-5 -20],-25,-5,-20
[9859 -6964 -7144 8740 5224 -8321 6774 3033 -2469 -1007 1428 -703 4569 -5355 4925 -7638 -9924],-3931,-6964,3033
[237 410 -777],-367,410,-777
[2920 -6275 8680 8184 -4232],3952,8184,-4232
[9546 -5742 -8659 5298],14844,9546,5298
[1492 7016 879 -2143 -5842 -2551 -3084 -4262 -2351],-4694,-2143,-2551
[237 410 -777],-540,237,-777
[-7831 -3001],-10832,-7831,-3001
[8310 -8320],-10,8310,-8320
[6370 9223 1143 -2242 4 -9670 4287 -5571 6291 -9207 8385 8179 -136],-1491,-9670,8179
[4331 7921 -7566 1805],6136,4331,1805
[-310 -5786 5266 6166 1473 -1512 -7349 -8753 -2091 -4889 7821 8755 -3656],1277,6166,-4889
[9492 -3791 -7317],5701,9492,-3791
[5 7],12,5,7
[-3508 6942 8542 -3735 4842 -3315 -8645 -1346 -6442 5524 -4054 -7279 5260 -1952 -6863 9539],-5460,-3508,-1952
[1018 -3991 -153 -9209 1364 1584 7655 2705 -9333 -7028 -1519 5135],2552,-153,2705
[14 -35 78],92,14,78
[-4 4],0,-4,4
[67 321 -3755 -2522],-3434,321,-3755
[40 -19],21,40,-19
[9492 -3791 -7317],2175,9492,-7317
[-3790 7641 -1663 6516 -7075 2503 5557 -2258 7892 2918 4900 2535 -9843 -5768 7840 -3709],-4943,4900,-9843
[14 -35 78],-21,14,-35
[-3296 787 -6541 -6427 -6852 4667 4097 -3920 -3888 7790 -159],938,-6852,7790
[-9678 8301 1705 -4207 -3153 3666 -7549 -9154 4569 -2508],-1448,1705,-3153
[0 1234],1234,0,1234
[-1 0 1],1,0,1
