input1,output1
[9 15],4
[15],3
[6 6],0
[33 33],18
[4350 9937 5994 3502 3521 410 9729 9918 9702 1772 625 4941 6625 3485 305 4908 9378 5931 8835 214],34649
[3822 9149 7536 4929 3144],9516
[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8],0
[10000],3331
[10],1
[32 32],16
[4019 7962 7315 9130 7718 5444 2350 7021 2446 7057 2733 5004 925 8554 1595 8051],29070
[9 10000],3332
[2325 9832],4048
[15 9],4
[6],0
[6171 8215 5465 4262],8028
[9],1
[9998],3330
[9298 1521 4426 6490 1244 397 1775 17 7603 6395 8439 6030 664 7864 5160 8973],25395
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],20
[6396 2231],2871
[14],2
[8],0
[9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998],66600
[11],1
[10000 10000],6662
[7],0
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15
[5279 3043 8340],5547
[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13],40
[9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999],66620
[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10],20
[12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12],40
[16],3
[7260 7333 9411],7995
[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11],20
[255 2111 4957 9880 5517 889 232 1506 19 6717 5268],12426
[9 14],3
[17],3
[10000 9],3332
[310 248 4789 9072 1686 1400 7552 8790 5065],12950
[10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000],66620
[12],2
[8637 7506 9908 1375 426 8255 8989 9082],18041
[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6],0
[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7],0
[9999],3331
[639 4243 3607 892 1197 762 2916 3488 505 640 4371 4196 64 449 4409 6261],12843
[14 9],3
[13],2
