input1,output1
347382,Fizz
990307,990307
219340,Buzz
44793,Fizz
904485,FizzBuzz
625692,Fizz
55071,Fizz
366138,Fizz
17,17
430194,Fizz
965340,FizzBuzz
872560,Buzz
246896,246896
855772,855772
561881,561881
449597,449597
259150,Buzz
732058,732058
431447,431447
432317,432317
926626,926626
224929,224929
996136,996136
571750,Buzz
508946,508946
829830,FizzBuzz
690928,690928
450103,450103
103661,103661
18,Fizz
69255,FizzBuzz
876376,876376
244519,244519
100076,100076
507015,FizzBuzz
443418,Fizz
943252,943252
40811,40811
377483,377483
733379,733379
68879,68879
67899,Fizz
711525,FizzBuzz
6299,6299
16,16
803685,FizzBuzz
401398,401398
215538,Fizz
980754,Fizz
864742,864742
7,7
63225,FizzBuzz
567131,567131
49995,FizzBuzz
587306,587306
878903,878903
10,Buzz
256730,Buzz
2086,2086
14,14
79955,Buzz
659807,659807
731480,Buzz
358901,358901
663616,663616
274637,274637
480867,Fizz
701083,701083
63469,63469
875278,875278
974159,974159
309024,Fizz
336984,Fizz
38748,Fizz
889146,Fizz
268241,268241
577746,Fizz
606373,606373
695826,Fizz
399759,Fizz
780882,Fizz
565511,565511
55400,Buzz
265974,Fizz
126315,FizzBuzz
172272,Fizz
881795,Buzz
49999,49999
934969,934969
35033,35033
400808,400808
550671,Fizz
992620,Buzz
987232,987232
655319,655319
215340,FizzBuzz
348366,Fizz
921915,FizzBuzz
66337,66337
21220,Buzz
959376,Fizz
444937,444937
321942,Fizz
525061,525061
212424,Fizz
673533,Fizz
379067,379067
957738,Fizz
196830,FizzBuzz
575348,575348
1,1
543083,543083
376762,376762
20,Buzz
51663,Fizz
460022,460022
582947,582947
811354,811354
272967,Fizz
178393,178393
584292,Fizz
19,19
943379,943379
348667,348667
460374,Fizz
6,Fizz
422759,422759
330302,330302
826661,826661
20474,20474
858885,FizzBuzz
18959,18959
858829,858829
980329,980329
115139,115139
256148,256148
51334,51334
500892,Fizz
330798,Fizz
855486,Fizz
995704,995704
50000,Buzz
529928,529928
5,Buzz
489380,Buzz
576799,576799
684488,684488
503248,503248
3,Fizz
517432,517432
11,11
362132,362132
570267,Fizz
837524,837524
4,4
15,FizzBuzz
310805,Buzz
779636,779636
876145,Buzz
244300,Buzz
135050,Buzz
2,2
99902,99902
331228,331228
279995,Buzz
49998,Fizz
8,8
92661,Fizz
435459,Fizz
443182,443182
568671,Fizz
912238,912238
33320,Buzz
518813,518813
837316,837316
675595,Buzz
586918,586918
314675,Buzz
804704,804704
895959,Fizz
8986,8986
12,Fizz
344475,FizzBuzz
820288,820288
733811,733811
464017,464017
938627,938627
123552,Fizz
115772,115772
678876,Fizz
527944,527944
677815,Buzz
50314,50314
606358,606358
13,13
275406,Fizz
9,Fizz
483616,483616
979756,979756
892874,892874
