input1,input2,output1,output2
RGBW,WYWR,2,0
BBYY,OORO,0,0
ORRO,OWBB,0,1
OBBR,WYRO,2,0
GOWB,YYYY,0,0
RWWW,BGGW,0,1
GORB,WWOR,2,0
OOOR,GRGB,1,0
OBWG,GGGO,2,0
WYYR,WBRW,1,1
ROOB,BYRR,2,0
OYBY,GGBW,0,1
ORYY,RYBY,2,1
BBGO,WWGW,0,1
ORGY,BRBB,0,1
OYGY,RWYG,2,0
RWGG,YWBO,0,1
RORY,WGOG,1,0
OBRB,GRWR,1,0
GWWR,WOGG,2,0
GRYW,WOOR,2,0
GWGB,RGGB,1,2
YYYG,BROW,0,0
OYYW,BORY,2,0
GOYW,GOYW,0,4
BWYG,WWOG,0,2
BRWY,YOGW,2,0
WGWB,OGGO,0,1
RRYO,WBWY,1,0
BBRY,GYOR,2,0
OWYO,OOBW,2,1
BRYG,BGOW,1,1
OBBG,ORBG,0,3
GGGY,YRWO,1,0
OROO,OROO,0,4
GRRY,OYOG,2,0
BBBB,OOOO,0,0
WYYW,BBOG,0,0
OGWG,RWGR,2,0
WGYB,ROOG,1,0
YOWW,YWWR,1,2
GOGR,GOYR,0,3
WYGB,YYRR,0,1
GRBY,RYGB,4,0
RWRO,OGYO,0,1
ROWB,ROYB,0,3
BROW,YBGB,1,0
WYGG,BORG,0,1
GROR,RGYW,2,0
BWBR,BWBR,0,4
WOGW,OROR,1,0
WGBO,WYYG,1,1
BYOB,GRWW,0,0
RWWR,WGGG,1,0
GGGB,BGGG,2,2
GYOG,WBYO,2,0
GROY,BGOW,1,1
YWGY,BOOO,0,0
RBWB,OYYG,0,0
BWGR,GRYO,2,0
OOBR,YOWG,0,1
YBYR,YBYR,0,4
YYRG,BWWR,1,0
RWRO,RWRO,0,4
OBGG,OBGG,0,4
WBGB,GRRB,1,1
GROR,RWGR,2,1
ROOR,YGRR,1,1
RGGO,GRGO,2,2
YBYR,OGBB,1,0
YYYR,GRYG,1,1
WWOY,GBWG,1,0
OYYR,RGWB,1,0
GRYY,GYGY,1,2
GRRO,YYRY,0,1
ORGO,YYRO,1,1
RRRR,RRRR,0,4
RGOO,YGOB,0,2
OOBY,OOBY,0,4
BORW,RBRY,1,1
YGOG,YGOG,0,4
WGGO,GBGO,1,2
GOGY,OGGO,2,1
WYBR,OBYG,2,0
BGYB,YRWB,1,1
GGYO,RGGB,1,1
OOWW,BORR,0,1
RRGG,YWBG,0,1
RBYY,RBYY,0,4
WBWR,WBWR,0,4
YWWW,YRWY,0,2
WWOO,RGRG,0,0
GBBB,YGBG,1,1
ROGY,BYGR,2,1
OBWR,YBGB,0,1
WYGO,BRGO,0,2
BWGR,ROWO,2,0
OYRO,WYRR,0,2
OYYO,RGOO,1,1
GGYG,BYBB,1,0
BROY,YRBB,2,1
WYYY,OGYO,0,1
OBWY,BRWO,2,1
RGYR,YBGO,2,0
WYBR,BYRR,1,2
GWWB,WBOG,3,0
GWYG,GYOG,1,2
BWYG,YWBG,2,2
YYWR,RWWW,1,1
YYWO,BBWG,0,1
ROWB,BYOW,3,0
OOGO,OORO,0,3
RRYB,WWRO,1,0
GYOW,OGBB,2,0
RORY,WRYY,1,1
YYWG,BWWO,0,1
RRGO,RRGO,0,4
OYGO,OYGO,0,4
RORW,WWBG,1,0
WBWY,BWYY,2,1
RRBO,RRBO,0,4
OBRO,OGOO,0,2
GGYY,GGYY,0,4
WYWW,YGWW,1,2
YOOY,YOYY,0,3
OORG,BRBO,2,0
YRGR,GBWO,1,0
OWRO,YOGR,2,0
WBRG,WBRG,0,4
RRBY,ORGG,0,1
RBYG,YWYO,0,1
YBOW,BGOB,1,1
WBOG,WYOB,1,2
OORR,BRYG,1,0
YBWR,GWRG,2,0
BRRR,BYYG,0,1
OOBB,BOBW,1,2
WWYG,RBWW,2,0
RWRY,YBGY,0,1
OYGY,RYYW,1,1
OGBY,OOWR,0,1
ROOR,RBGY,0,1
RBRB,ORBY,2,0
GRWW,GOOW,0,2
BRWY,YOOW,2,0
OROY,BRYG,1,1
OGOR,WWRR,0,1
GOWG,BWWB,0,1
ORWO,OYYW,1,1
RWWY,GRRB,1,0
YBWY,YOYW,2,1
YBWR,OYYR,1,1
BGGO,GGRW,1,1
BRYB,WOGG,0,0
BWYO,BBBG,0,1
OWGR,WYWR,1,1
WBBG,WWGB,2,1
WRBG,WRBG,0,4
BRGO,RWRY,1,0
GOBB,GOBB,0,4
OWWB,BYOB,1,1
OGBB,WOWW,1,0
WYYW,BGYY,1,1
BOYG,GYOB,4,0
YGGB,GYBG,4,0
WORR,BYOW,2,0
YGYW,BYGY,3,0
OYRR,ROOR,2,1
RRWB,GRBR,2,1
ORGY,ROBY,2,1
GOYR,OBRB,2,0
YGGB,GYGB,2,2
RYWY,RYWY,0,4
YOGO,RRGY,1,1
YWRB,YWRB,0,4
YGYG,BOBW,0,0
RBYO,BWBB,1,0
BOGG,BOGR,0,3
RRYY,BGWR,1,0
RGOW,OGWR,3,1
YGGG,YGGG,0,4
YYWO,RORY,2,0
WYOB,WYOB,0,4
WWWW,BYWR,0,1
WOWY,GWWB,1,1
BRGY,BBYO,1,1
YMOO,YMRG,0,2
RWBR,RWBR,0,4
GRGG,GRGG,0,4
GYBG,GYBG,0,4
GYBY,GYBY,0,4
BYYR,WBOW,1,0
BYRG,YRRW,1,1
YGGY,OGWO,0,1
GGYY,BYRB,1,0
GYWO,YBGW,3,0
ORGB,WYOB,1,1
GGRB,GORR,0,2
ROOY,GRGB,1,0
RRRB,GRBY,1,1
