input1,input2,output1,output2
GORB,WWOR,2,0
GGYO,RGGB,1,1
BRYB,WOGG,0,0
RRYB,WWRO,1,0
GRBY,RYGB,4,0
GRRY,OYOG,2,0
WORR,BYOW,2,0
WBOG,WYOB,1,2
RBYY,RBYY,0,4
OGOR,WWRR,0,1
BRWY,YOGW,2,0
GGYG,BYBB,1,0
GROY,BGOW,1,1
WYYR,WBRW,1,1
BWGR,GRYO,2,0
OORG,BRBO,2,0
ORGY,BRBB,0,1
RGYR,YBGO,2,0
RGOO,YGOB,0,2
RGGO,GRGO,2,2
ORGY,ROBY,2,1
OOBB,BOBW,1,2
RBYO,BWBB,1,0
YYRG,BWWR,1,0
WYYY,OGYO,0,1
RWWY,GRRB,1,0
RWRO,RWRO,0,4
BBBB,OOOO,0,0
WGYB,ROOG,1,0
YBWY,YOYW,2,1
YYWO,RORY,2,0
OOBR,YOWG,0,1
GGYY,BYRB,1,0
BBYY,OORO,0,0
RWWR,WGGG,1,0
YGGY,OGWO,0,1
YGGB,GYBG,4,0
YBYR,OGBB,1,0
ROOR,RBGY,0,1
BWBR,BWBR,0,4
RRGO,RRGO,0,4
BROW,YBGB,1,0
YMOO,YMRG,0,2
WOWY,GWWB,1,1
RORY,WGOG,1,0
RWRY,YBGY,0,1
ROWB,ROYB,0,3
RRYO,WBWY,1,0
YYWG,BWWO,0,1
RWWW,BGGW,0,1
BBGO,WWGW,0,1
BRGY,BBYO,1,1
RRRB,GRBY,1,1
RYWY,RYWY,0,4
GYWO,YBGW,3,0
OGBY,OOWR,0,1
GOYR,OBRB,2,0
GOYW,GOYW,0,4
YBWR,OYYR,1,1
OYYW,BORY,2,0
OWRO,YOGR,2,0
OBGG,OBGG,0,4
RBRB,ORBY,2,0
GYBY,GYBY,0,4
WYYW,BGYY,1,1
RBYG,YWYO,0,1
OBBR,WYRO,2,0
OYYR,RGWB,1,0
GWWB,WBOG,3,0
WOGW,OROR,1,0
WYYW,BBOG,0,0
YGOG,YGOG,0,4
GRYY,GYGY,1,2
ROWB,BYOW,3,0
BGGO,GGRW,1,1
WWYG,RBWW,2,0
BROY,YRBB,2,1
BORW,RBRY,1,1
ORGB,WYOB,1,1
OORR,BRYG,1,0
RRRR,RRRR,0,4
GGRB,GORR,0,2
OYRO,WYRR,0,2
WYGB,YYRR,0,1
WYBR,OBYG,2,0
OROY,BRYG,1,1
BWGR,ROWO,2,0
YBOW,BGOB,1,1
OOGO,OORO,0,3
WYWW,YGWW,1,2
YWRB,YWRB,0,4
WWOY,GBWG,1,0
BYYR,WBOW,1,0
YWWW,YRWY,0,2
BRWY,YOOW,2,0
WBWR,WBWR,0,4
ROOY,GRGB,1,0
OWWB,BYOB,1,1
YBWR,GWRG,2,0
GOGY,OGGO,2,1
GOWB,YYYY,0,0
WBWY,BWYY,2,1
ORGO,YYRO,1,1
WBRG,WBRG,0,4
BOGG,BOGR,0,3
GGGB,BGGG,2,2
WYGO,BRGO,0,2
WRBG,WRBG,0,4
YGGB,GYGB,2,2
WGBO,WYYG,1,1
RRBO,RRBO,0,4
BOYG,GYOB,4,0
OBRO,OGOO,0,2
RRYY,BGWR,1,0
YOWW,YWWR,1,2
WWWW,BYWR,0,1
OBWY,BRWO,2,1
RWGG,YWBO,0,1
OYGO,OYGO,0,4
GRYW,WOOR,2,0
GOGR,GOYR,0,3
OOBY,OOBY,0,4
RGOW,OGWR,3,1
OBBG,ORBG,0,3
RGBW,WYWR,2,0
BBRY,GYOR,2,0
WYBR,BYRR,1,2
BRRR,BYYG,0,1
GRRO,YYRY,0,1
WYGG,BORG,0,1
GBBB,YGBG,1,1
BRYG,BGOW,1,1
BYOB,GRWW,0,0
GYBG,GYBG,0,4
GRGG,GRGG,0,4
BWYG,YWBG,2,2
ROGY,BYGR,2,1
YOOY,YOYY,0,3
OYGY,RWYG,2,0
BWYO,BBBG,0,1
OOWW,BORR,0,1
GYOG,WBYO,2,0
ORWO,OYYW,1,1
YYWO,BBWG,0,1
BRGO,RWRY,1,0
RORY,WRYY,1,1
OWGR,WYWR,1,1
OYBY,GGBW,0,1
ROOB,BYRR,2,0
RWBR,RWBR,0,4
