input1,input2,output1,output2
RGOW,OGWR,3,1
GRBY,RYGB,4,0
YWRB,YWRB,0,4
RBYO,BWBB,1,0
WBRG,WBRG,0,4
BWGR,GRYO,2,0
OORG,BRBO,2,0
GRYY,GYGY,1,2
BOGG,BOGR,0,3
WBWR,WBWR,0,4
BBBB,OOOO,0,0
RORY,WRYY,1,1
YYWG,BWWO,0,1
WGYB,ROOG,1,0
GGYG,BYBB,1,0
WOGW,OROR,1,0
WRBG,WRBG,0,4
YBOW,BGOB,1,1
RWGG,YWBO,0,1
BWYO,BBBG,0,1
RWWY,GRRB,1,0
GYWO,YBGW,3,0
GOGY,OGGO,2,1
BGGO,GGRW,1,1
WYWW,YGWW,1,2
ROOR,RBGY,0,1
OBWY,BRWO,2,1
ORGB,WYOB,1,1
GOYW,GOYW,0,4
ROOY,GRGB,1,0
ORGO,YYRO,1,1
WBOG,WYOB,1,2
RRYO,WBWY,1,0
GORB,WWOR,2,0
BORW,RBRY,1,1
RBYG,YWYO,0,1
WGBO,WYYG,1,1
YGGB,GYBG,4,0
RGGO,GRGO,2,2
GOWB,YYYY,0,0
OBBG,ORBG,0,3
WORR,BYOW,2,0
RRYB,WWRO,1,0
BRWY,YOGW,2,0
BBGO,WWGW,0,1
OOBR,YOWG,0,1
ROOB,BYRR,2,0
WWOY,GBWG,1,0
GYBG,GYBG,0,4
BROW,YBGB,1,0
GOYR,OBRB,2,0
BRYB,WOGG,0,0
GGYY,BYRB,1,0
WYYW,BBOG,0,0
OOBY,OOBY,0,4
BBRY,GYOR,2,0
OWWB,BYOB,1,1
RRYY,BGWR,1,0
OYBY,GGBW,0,1
BRGY,BBYO,1,1
OGBY,OOWR,0,1
BYYR,WBOW,1,0
YYRG,BWWR,1,0
BRWY,YOOW,2,0
GROY,BGOW,1,1
BRGO,RWRY,1,0
YMOO,YMRG,0,2
GYBY,GYBY,0,4
ROWB,BYOW,3,0
OYGO,OYGO,0,4
GRGG,GRGG,0,4
GYOG,WBYO,2,0
BWYG,YWBG,2,2
RWRO,RWRO,0,4
YOOY,YOYY,0,3
GOGR,GOYR,0,3
OWRO,YOGR,2,0
OBGG,OBGG,0,4
BWBR,BWBR,0,4
YGGY,OGWO,0,1
GGRB,GORR,0,2
YYWO,BBWG,0,1
GGGB,BGGG,2,2
RRGO,RRGO,0,4
BOYG,GYOB,4,0
ORGY,ROBY,2,1
WWWW,BYWR,0,1
RBRB,ORBY,2,0
BRRR,BYYG,0,1
RRRR,RRRR,0,4
RWBR,RWBR,0,4
RORY,WGOG,1,0
OBRO,OGOO,0,2
YBWY,YOYW,2,1
OYRO,WYRR,0,2
RRRB,GRBY,1,1
WYGG,BORG,0,1
YGGB,GYGB,2,2
YBWR,GWRG,2,0
YOWW,YWWR,1,2
