input1,output1
flso,flso
q,q
z ntxqp yn hzit nr,z pqxtn yn hzit nr
avktiotj xwnipkw,jtoitkva wkpinwx
nuknsyk utswkra g,kysnkun arkwstu g
abcde fghij klmno,edcba jihgf onmlk
gpkl l uxyyx,gpkl l xyyxu
tz ysjva,tz avjsy
pyy,pyy
txhznvqr q cqolf hb,rqvnzhxt q floqc hb
ltyrpq oankphz,qprytl zhpknao
etve,etve
ii,ii
hi,hi
helpful,lufpleh
lg kmyezrsj,lg jsrzeymk
pantry,yrtnap
uj,uj
ndn wr gygg,ndn wr gygg
fhjm xupehdq,fhjm qdhepux
jayaoum dfyoax,muoayaj xaoyfd
tsp dlmal zdgg,tsp lamld zdgg
a,a
heart,traeh
tdbpwzii dyufdbwl wh,iizwpbdt lwbdfuyd wh
krghqmy,ymqhgrk
ucxrunl,lnurxcu
xchaqpkky icqb ub,ykkpqahcx icqb ub
xotcljt e tpii,tjlctox e tpii
n gnqs rxfvhkzl k k,n gnqs lzkhvfxr k k
tvebhg,ghbevt
cwi xrysrk,cwi krsyrx
bsf kffsd niz iok,bsf dsffk niz iok
xaxn,xaxn
yirmb,bmriy
qfels puagyqd yxqpzx,slefq dqygaup xzpqxy
qgczrjbnnlxxzue,euzxxlnnbjrzcgq
s,s
c ge rqzfxc v,c ge cxfzqr v
x o,x o
donsqz uaul q,zqsnod uaul q
rf qapajwk zonnizk,rf kwjapaq kzinnoz
s,s
rmnxspox lclep,xopsxnmr pelcl
kfhbfwpw,wpwfbhfk
abcdef ghijkl mnopqr,fedcba lkjihg rqponm
euzwk,kwzue
yrsnjg hjgllmr qvvs,gjnsry rmllgjh qvvs
jac,jac
pyxh bafe qecowxi jp,pyxh bafe ixwoceq jp
j,j
tr f xhpi ade eito,tr f xhpi ade eito
science hi,ecneics hi
kg,kg
jazz,jazz
couple longer words,elpuoc regnol sdrow
rinasm seh m dt,msanir seh m dt
mrbo cyp nleyggm lz,mrbo cyp mggyeln lz
vsudl,ldusv
amoe ef,amoe ef
kpgpy rmaxwbdqv,ypgpk vqdbwxamr
m,m
cflgdffv dlqvey ttb,vffdglfc yevqld ttb
qfecg z omurggi,gcefq z iggrumo
ba,ba
zletvj vwwxdnoixtry,jvtelz yrtxiondxwwv
cpurrj emdktgtb fbv,jrrupc btgtkdme fbv
abc def gef hij klm,abc def gef hij klm
