input1,output1
science hi,ecneics hi
abcde fghij klmno,edcba jihgf onmlk
this is another test,this is rehtona test
rmnxspox lclep,xopsxnmr pelcl
maybe this isgood,ebyam this doogsi
rh k tujjt wifxc,rh k tjjut cxfiw
vbox,vbox
abcdefg hijklmn,gfedcba nmlkjih
nakjupxw g,wxpujkan g
ayhwenxj,jxnewhya
couple longer words,elpuoc regnol sdrow
walk,walk
tkhdm zhqjcmf chav,mdhkt fmcjqhz chav
,
krghqmy,ymqhgrk
llama,amall
gjbi,gjbi
ab cd ef gh ij kl mn,ab cd ef gh ij kl mn
abc def gef hij klm,abc def gef hij klm
stop spinning these,stop gninnips eseht
yirmb,bmriy
wjioladu xh n,udaloijw xh n
heart,traeh
jazz,jazz
geoi,geoi
u yex p fx,u yex p fx
xchaqpkky icqb ub,ykkpqahcx icqb ub
this is a test,this is a test
bxzvwts,stwvzxb
on pineapple island,on elppaenip dnalsi
abcdefgh ijklmnop,hgfedcba ponmlkji
word less than five,word less than five
d poz,d poz
zletvj vwwxdnoixtry,jvtelz yrtxiondxwwv
oneloongworrrrrrrrrd,drrrrrrrrrowgnooleno
tsp dlmal zdgg,tsp lamld zdgg
disrespectful,luftcepsersid
ella is a short pali,ella is a trohs pali
vkshpzu ekutn,uzphskv ntuke
a,a
abcdef ghijkl mnopqr,fedcba lkjihg rqponm
abcdefghi jklmnopqrs,ihgfedcba srqponmlkj
a b c d e f g h i j,a b c d e f g h i j
hi,hi
cat,cat
racecar palindrome,racecar emordnilap
vsudl,ldusv
em,em
pantry,yrtnap
helpful,lufpleh
