input1,output1
vsudl,ldusv
wwhsvc,cvshww
pqmsz ib gi yvhdnv,zsmqp ib gi vndhvy
xchaqpkky icqb ub,ykkpqahcx icqb ub
abcdefg hijklmn,gfedcba nmlkjih
ab cd ef gh ij kl mn,ab cd ef gh ij kl mn
r kvk,r kvk
q,q
m f x,m f x
racecar palindrome,racecar emordnilap
clct nilp wwazrlein,clct nilp nielrzaww
helpful,lufpleh
v sjk qfvyslc hn q,v sjk clsyvfq hn q
vbox,vbox
j,j
zuce,zuce
eegrla vycq,alrgee vycq
tz ysjva,tz avjsy
stop spinning these,stop gninnips eseht
llama,amall
n aj,n aj
pantry,yrtnap
ill iwqklu,ill ulkqwi
etve,etve
qfels puagyqd yxqpzx,slefq dqygaup xzpqxy
on pineapple island,on elppaenip dnalsi
disrespectful,luftcepsersid
hi,hi
wjioladu xh n,udaloijw xh n
em,em
rmnxspox lclep,xopsxnmr pelcl
zletvj vwwxdnoixtry,jvtelz yrtxiondxwwv
walk,walk
u yex p fx,u yex p fx
q ennl q f,q ennl q f
ayhwenxj,jxnewhya
tsp dlmal zdgg,tsp lamld zdgg
oneloongworrrrrrrrrd,drrrrrrrrrowgnooleno
yirmb,bmriy
ella is a short pali,ella is a trohs pali
tkhdm zhqjcmf chav,mdhkt fmcjqhz chav
heart,traeh
l gusq z ae,l gusq z ae
xotcljt e tpii,tjlctox e tpii
this is a test,this is a test
a,a
ospbiunoemiit,tiimeonuibpso
rjn defufz,rjn zfufed
bxzvwts,stwvzxb
abc def gef hij klm,abc def gef hij klm
hvjed,dejvh
couple longer words,elpuoc regnol sdrow
ltyrpq oankphz,qprytl zhpknao
kg,kg
,
qmqxyc sl t,cyxqmq sl t
j ceuphjs n sq,j sjhpuec n sq
word less than five,word less than five
ae ho ynyayfjz,ae ho zjfyayny
geoi,geoi
m,m
abcde fghij klmno,edcba jihgf onmlk
vtomneshennyajzc fyo,czjaynnehsenmotv fyo
mzfk,mzfk
xaxn,xaxn
maybe this isgood,ebyam this doogsi
cep eaksb rkkpiyz,cep bskae zyipkkr
umlnn,nnlmu
gjbi,gjbi
gvrynvm m h wlqbd,mvnyrvg m h dbqlw
ge,ge
mrbo cyp nleyggm lz,mrbo cyp mggyeln lz
seh hdgoysj,seh jsyogdh
n gnqs rxfvhkzl k k,n gnqs lzkhvfxr k k
vkshpzu ekutn,uzphskv ntuke
xozjhu tzct vfcjkm,uhjzox tzct mkjcfv
tr f xhpi ade eito,tr f xhpi ade eito
cat,cat
rhv zv,rhv zv
ahxwu ggxog,uwxha goxgg
jazz,jazz
abcdef ghijkl mnopqr,fedcba lkjihg rqponm
abcdefgh ijklmnop,hgfedcba ponmlkji
i yadkygdq bfowavzt,i qdgykday tzvawofb
avktiotj xwnipkw,jtoitkva wkpinwx
krghqmy,ymqhgrk
d poz,d poz
ocwo yqlfuxhv,ocwo vhxuflqy
qgczrjbnnlxxzue,euzxxlnnbjrzcgq
wwh zh,wwh zh
this is another test,this is rehtona test
science hi,ecneics hi
vjg,vjg
rh k tujjt wifxc,rh k tjjut cxfiw
orlved,devlro
aum gsjzq cykngjnx,aum qzjsg xnjgnkyc
abcdefghi jklmnopqrs,ihgfedcba srqponmlkj
nakjupxw g,wxpujkan g
fayqzc qsc dxtis,czqyaf qsc sitxd
a b c d e f g h i j,a b c d e f g h i j
