0,"[np.float64(0.01), np.float64(0.0)]"
1,"[np.float64(0.06), np.float64(0.06)]"
2,"[np.float64(0.065), np.float64(0.06)]"
3,"[np.float64(0.06), np.float64(0.06)]"
4,"[np.float64(0.065), np.float64(0.06)]"
5,"[np.float64(0.065), np.float64(0.06)]"
6,"[np.float64(0.06), np.float64(0.06)]"
7,"[np.float64(0.08), np.float64(0.06)]"
8,"[np.float64(0.065), np.float64(0.06)]"
9,"[np.float64(0.065), np.float64(0.06)]"
10,"[np.float64(0.07), np.float64(0.06)]"
11,"[np.float64(0.065), np.float64(0.06)]"
12,"[np.float64(0.01), np.float64(0.0)]"
13,"[np.float64(0.06), np.float64(0.06)]"
14,"[np.float64(0.065), np.float64(0.06)]"
15,"[np.float64(0.06), np.float64(0.06)]"
16,"[np.float64(0.005), np.float64(0.0)]"
17,"[np.float64(0.065), np.float64(0.06)]"
18,"[np.float64(0.065), np.float64(0.06)]"
19,"[np.float64(0.14), np.float64(0.115)]"
