input1,input2,input3,input4,output1
9,6.633914213386403,8.904767256379335,0.1636947002695272,44.840105059545145
20,19.99,9.999,0.999,10.00900900900901
10,3.3423789214723887,7.67039247083133,0.4990764504204688,15.357209660021756
16,14.47726670258245,2.0043446673252854,0.4643660121455281,4.316770022570335
13,14.0208918217298,5.9448729800347575,0.4287780004994515,13.864795176686336
19,15.643872979029094,2.5590401517224173,0.2151971019405851,11.92917230218271
5,7.38823812350379,7.559594206220668,0.9179720639101282,8.235099537760883
7,16.799269680624263,3.64125052476991,0.4645385485255767,7.951520685860995
15,17.533272871648244,0.0259798757244356,0.4037287151964643,0.0718302292689862
10,12.78684322953689,1.0666729880702608,0.1396506228287641,8.782204559044754
1,2.833094227906326,7.626227182549679,0.9950726697524194,7.640186773433087
2,3.524584260206247,1.7367988142588808,0.8855943388866225,1.9816304992643765
6,16.168571936748283,8.164812292297128,0.3206724194204252,24.54820159027599
1,17.044001995048536,5.987161631704117,0.4200638694532452,15.871594197743732
9,12.664377814831983,5.512510408662732,0.2547841294718533,21.000072823934328
20,19.99,9.999,0.0,219.9699999999999
15,8.109851152513173,1.729955345161488,0.9176360225556656,1.8852304210371664
8,10.0,2.0,0.0,26.0
15,14.56,0.0,0.0,14.56
5,11.331449739666546,1.0857746202410157,0.6735828973250095,1.6479562316128755
19,8.666458086758585,0.8504658219453498,0.0058298391287469,23.093628771285413
0,8.581155736378307,2.9511599874708407,0.7970537477068007,8.581155736378307
9,4.676587090243041,4.321159251471539,0.7105038216443361,6.081804010656355
14,13.508525741901328,4.93544871363447,0.1165350208284942,37.2619279353571
17,18.655493454903297,7.311754442363646,0.3061524010004374,23.872262211183756
18,3.355731056560629,8.064924780118115,0.4254227240874657,18.956710832454043
6,2.573064469524642,0.5470052281285731,0.6610206825152963,0.8301643799251908
15,15.386620910520712,4.321844395616038,0.7114174929789618,6.074976355489842
0,0.0,0.0,0.0,0.0
5,5.971915155862941,0.2921646261163224,0.7390301177234866,0.4020854594575913
18,2.4633819209947383,7.758762955923492,0.2612743633464722,29.578953057814783
13,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,10.0
7,12.773682739693974,8.873895020121193,0.912338702900769,9.726535882445772
0,16.38851954509234,0.8086367020217011,0.9270965638647338,16.38851954509234
5,18.35958707445865,0.751128522774509,0.2246666729016805,7.550614404180438
18,11.147385569237455,8.270316051956584,0.0492316090874207,104.77534189946948
11,1.0427363199941395,6.630707049764991,0.4018154619764962,16.447624764428124
16,18.19,0.0,0.05,8.005904102775611
5,1.3,1.5,0.05,7.792487093749998
9,3.8164740836638056,9.237473266189369,0.2396726567513752,35.593176068969505
11,14.333864491279398,0.1226872477364271,0.5697577580088896,0.2166524784825978
1,14.381924067248915,8.722429058606698,0.2580883773348145,19.392545680386824
20,15.883366533248186,7.570972500452571,0.1922242108696721,39.05735147291155
2,16.749436696933135,3.9191961594220297,0.4955913831731603,10.15759903638028
15,15.0,15.0,0.15,92.5748913763936
3,17.28324250400808,2.2713769001111506,0.6357391305301721,4.23546954551273
13,6.355601141999547,8.584901378633212,0.5653212653345386,15.185706204297611
8,11.3,0.5,0.3,2.2220091629999996
10,0.0,2.0,0.0,20.0
