input1,output1,output2
[2459 726 654 5081],[2459 726 654],[5081]
[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974 2882 5262 9556 5852 4592 7280 6146 1787 4715],[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974],[2882 5262 9556 5852 4592 7280 6146 1787 4715]
[1419 6115 8126 5654 3435 9498 4562 4806],[1419 6115 8126 5654],[3435 9498 4562 4806]
[3312 525 5232 7687],[3312 525 5232],[7687]
[6852],[6852],[]
[5919 5313 1657 8466 5012 2458 2540 8661 9841 3338 6119 9863 720],[5919 5313 1657 8466 5012 2458 2540],[8661 9841 3338 6119 9863 720]
[7480 8166 6680 7826],[7480 8166],[6680 7826]
[567 241 5822 3871 3424 4463 8718 7388 1137 9524 9249 4708 3003 3716 1624 5264 1453 1939 6256 585],[567 241 5822 3871 3424 4463 8718 7388 1137 9524],[9249 4708 3003 3716 1624 5264 1453 1939 6256 585]
[0 40],[0],[40]
[2624 5486],[2624],[5486]
[2 129],[2],[129]
[7206 8541 8001 5277 6084 9310 9662],[7206 8541 8001 5277],[6084 9310 9662]
[9507 9054],[9507],[9054]
[6168 8335 4247 7945 9997 4679 5152 4234 4912 3880 3786 6361 7340 8088],[6168 8335 4247 7945 9997 4679],[5152 4234 4912 3880 3786 6361 7340 8088]
[1640 3509 5207],[1640 3509],[5207]
[5190],[5190],[]
[10],[10],[]
[1798 7525 3285 8657],[1798 7525],[3285 8657]
[10000],[10000],[]
[3146 5916 234 5399 5703 7398 2187 744 7157 8430 8455],[3146 5916 234 5399 5703 7398],[2187 744 7157 8430 8455]
[6513 1078 6637 4531 3183 6187 1559 120 1963 8646 3871],[6513 1078 6637 4531 3183],[6187 1559 120 1963 8646 3871]
[4573 4808 8443],[4573 4808],[8443]
[4673 8443 4757 3914 8449 9803 2335 8253 441 1577 6556 7491 2386 6696 5230],[4673 8443 4757 3914 8449 9803],[2335 8253 441 1577 6556 7491 2386 6696 5230]
[9842 5949 7190 4660 52 7781 5979 9668 6661 4649 9601],[9842 5949 7190 4660 52 7781],[5979 9668 6661 4649 9601]
[3809 853 3523 7759 4102 7609 6379 9543 2187 2348 3984],[3809 853 3523 7759 4102 7609],[6379 9543 2187 2348 3984]
[5567],[5567],[]
[4260 2506 1878 9633 7955 3669],[4260 2506 1878 9633],[7955 3669]
[9225 9994],[9225],[9994]
[64 502 8143 7053 4579],[64 502 8143],[7053 4579]
[6341 2139 3829 524 4291 468 1974 6998 1313 6808 5738 1565 3289 2237 4606 5162 644 2837 3121],[6341 2139 3829 524 4291 468 1974 6998 1313 6808],[5738 1565 3289 2237 4606 5162 644 2837 3121]
[6661 9554 1271],[6661],[9554 1271]
[3223 2651],[3223],[2651]
[7543 9324 5159 5974 7529 8159 42 7917 7590 8374 9844 6685 951 1347],[7543 9324 5159 5974 7529 8159],[42 7917 7590 8374 9844 6685 951 1347]
[8475 3474 9791 1713],[8475 3474],[9791 1713]
[1906 2375 7827 9630],[1906 2375 7827],[9630]
[331 7575 4533 8019 6573 4311 3654 9446 6890 5887 48],[331 7575 4533 8019 6573],[4311 3654 9446 6890 5887 48]
[1043],[1043],[]
[9205 5770 7992 5762 8429 6355 575 1055 9761 6451],[9205 5770 7992 5762],[8429 6355 575 1055 9761 6451]
[3476 4190 6374 392 2567 2649 4583 950 8547 2922 6010 9811 1771 3329 3112],[3476 4190 6374 392 2567 2649 4583 950 8547],[2922 6010 9811 1771 3329 3112]
[2424],[2424],[]
[5433 995 5445],[5433 995],[5445]
[4170 4567],[4170],[4567]
[6343 5731 1543 2119 9835 4286 6248 8689 5031 4259 624 4005 1776 6865 2958],[6343 5731 1543 2119 9835 4286 6248],[8689 5031 4259 624 4005 1776 6865 2958]
[620 1350 9944 5240],[620 1350 9944],[5240]
[8031],[8031],[]
[0],[0],[]
[40],[40],[]
[2978 667 8788 6777 7997 3272 9052 1960 9045 6906 2666 1770 7879 2775 6866],[2978 667 8788 6777 7997 3272 9052],[1960 9045 6906 2666 1770 7879 2775 6866]
[7130 1862],[7130],[1862]
[569],[569],[]
[3466 4847 9145 9795 2698 2858 7259 1226 7319 7551 9973 5900],[3466 4847 9145 9795 2698 2858],[7259 1226 7319 7551 9973 5900]
[4495 4481 8832 8367 4665 390 4677 8883 2012 3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100],[4495 4481 8832 8367 4665 390 4677 8883 2012],[3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100]
[4050 4073 8183 383 2380 7137 6949 4066 4488],[4050 4073 8183 383 2380],[7137 6949 4066 4488]
[1368],[1368],[]
[5297 9590 7536 5958 3218 8032 619 2892 7288 12 3325 2649 1110 546],[5297 9590 7536 5958],[3218 8032 619 2892 7288 12 3325 2649 1110 546]
[101 5325 7962 355 6545 757 6170 3693 4192 6705 3952 5046 6197 3721 1802 4953 6867 7465 2184],[101 5325 7962 355 6545 757 6170 3693 4192 6705],[3952 5046 6197 3721 1802 4953 6867 7465 2184]
[9537],[9537],[]
[925 2431 9525 214 7215 889 6438 7773 9116 7523 697 4384 7633 2617 7424 2154],[925 2431 9525 214 7215 889 6438 7773],[9116 7523 697 4384 7633 2617 7424 2154]
[9137 4919 2241 5079 607 3827 9190 4734 7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386],[9137 4919 2241 5079 607 3827 9190 4734],[7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386]
[1025 4560],[1025],[4560]
[3874 6384 2442 5549 2249 3140 5997 4878 2735],[3874 6384 2442 5549],[2249 3140 5997 4878 2735]
[6348 9765 3675 7364],[6348 9765],[3675 7364]
[1753 8011 4663 2770 4222 8586 4680 1851 8037 2658 6438 8657 8522 4539 933 6507 8431],[1753 8011 4663 2770 4222 8586 4680 1851 8037],[2658 6438 8657 8522 4539 933 6507 8431]
[2645 4145],[2645],[4145]
[5237 1018 6952 2549],[5237 1018],[6952 2549]
[9981 5801],[9981],[5801]
[1258],[1258],[]
[2420 3695 1055 3966 2533 2628 3378 5162 8727 6216 5894 3286 276 7807 5901 6538],[2420 3695 1055 3966 2533 2628 3378 5162 8727],[6216 5894 3286 276 7807 5901 6538]
[8800],[8800],[]
[9258 4245 4988 2597 4989 6255 9967 5540 5590 9606 7592 9058 7083 5677 6701 3252 1910],[9258 4245 4988 2597 4989 6255 9967 5540 5590],[9606 7592 9058 7083 5677 6701 3252 1910]
[932],[932],[]
[3683 523 4271 5320 663 9396 2137],[3683 523 4271 5320],[663 9396 2137]
[4944 6842 7508],[4944 6842],[7508]
[9789 1629],[9789],[1629]
[7693 163 1241 5247 2483 2021 1128 1970],[7693 163 1241],[5247 2483 2021 1128 1970]
[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302 9707 7245 7838 9748 8438 7420 6977],[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302],[9707 7245 7838 9748 8438 7420 6977]
[5022 6758 9790 3691 7077],[5022 6758],[9790 3691 7077]
[3014 3403],[3014],[3403]
[694 1789 1680 4600 9741 9790 9130 4297],[694 1789 1680 4600 9741],[9790 9130 4297]
[6084 5122 238],[6084],[5122 238]
[9421 2708 5564],[9421],[2708 5564]
[192 268 8124 2195 6152 5551 2072 5775 7663 6119],[192 268 8124 2195 6152 5551],[2072 5775 7663 6119]
[1485 2315 1360 8716],[1485 2315 1360],[8716]
[7741 8681 4952 9159 8902 9940 3963 4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300],[7741 8681 4952 9159 8902 9940 3963],[4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300]
[5968 7604 3933],[5968],[7604 3933]
[8967],[8967],[]
[2412 723],[2412],[723]
[5161 8967 7819 8575 1478 1523 6365 8570 9398 9830 8221 2409 6002 7554],[5161 8967 7819 8575 1478 1523 6365 8570],[9398 9830 8221 2409 6002 7554]
[7578 5434 4278 4200],[7578 5434],[4278 4200]
[7861],[7861],[]
[100],[100],[]
[977 2462 5260 5435 8812 3363 6965 6100 3388 9209 2898 8886 7675],[977 2462 5260 5435 8812 3363 6965],[6100 3388 9209 2898 8886 7675]
