input1,output1,output2
[9999 74],[9999],[74]
[2 129],[2],[129]
[5161 8967 7819 8575 1478 1523 6365 8570 9398 9830 8221 2409 6002 7554],[5161 8967 7819 8575 1478 1523 6365 8570],[9398 9830 8221 2409 6002 7554]
[2420 3695 1055 3966 2533 2628 3378 5162 8727 6216 5894 3286 276 7807 5901 6538],[2420 3695 1055 3966 2533 2628 3378 5162 8727],[6216 5894 3286 276 7807 5901 6538]
[3809 853 3523 7759 4102 7609 6379 9543 2187 2348 3984],[3809 853 3523 7759 4102 7609],[6379 9543 2187 2348 3984]
[23 5512 2897 4020 441 9131 7283 5709 6902 4335 1064 1534 2515 5028 2754 5947 5333 7049 3500 3522],[23 5512 2897 4020 441 9131 7283 5709 6902],[4335 1064 1534 2515 5028 2754 5947 5333 7049 3500 3522]
[7824 9490 9165 7446 1991],[7824 9490],[9165 7446 1991]
[464 8475 1015 209],[464 8475],[1015 209]
[4260 2506 1878 9633 7955 3669],[4260 2506 1878 9633],[7955 3669]
[6570 1868 909 3974 1321 7156 7951 5306 1707 9250 4051 6266],[6570 1868 909 3974 1321 7156 7951],[5306 1707 9250 4051 6266]
[567 241 5822 3871 3424 4463 8718 7388 1137 9524 9249 4708 3003 3716 1624 5264 1453 1939 6256 585],[567 241 5822 3871 3424 4463 8718 7388 1137 9524],[9249 4708 3003 3716 1624 5264 1453 1939 6256 585]
[0],[0],[]
[4573 4808 8443],[4573 4808],[8443]
[1640 3509 5207],[1640 3509],[5207]
[8262 9113 3730],[8262],[9113 3730]
[1906 2375 7827 9630],[1906 2375 7827],[9630]
[7537],[7537],[]
[100],[100],[]
[9507 9054],[9507],[9054]
[6513 1078 6637 4531 3183 6187 1559 120 1963 8646 3871],[6513 1078 6637 4531 3183],[6187 1559 120 1963 8646 3871]
[9205 5770 7992 5762 8429 6355 575 1055 9761 6451],[9205 5770 7992 5762],[8429 6355 575 1055 9761 6451]
[2838 9088],[2838],[9088]
[7726],[7726],[]
[3196 4725],[3196],[4725]
[5297 9590 7536 5958 3218 8032 619 2892 7288 12 3325 2649 1110 546],[5297 9590 7536 5958],[3218 8032 619 2892 7288 12 3325 2649 1110 546]
[900 1539 2141],[900 1539],[2141]
[1368],[1368],[]
[1485 2315 1360 8716],[1485 2315 1360],[8716]
[2412 723],[2412],[723]
[977 2462 5260 5435 8812 3363 6965 6100 3388 9209 2898 8886 7675],[977 2462 5260 5435 8812 3363 6965],[6100 3388 9209 2898 8886 7675]
[9421 2708 5564],[9421],[2708 5564]
[1419 6115 8126 5654 3435 9498 4562 4806],[1419 6115 8126 5654],[3435 9498 4562 4806]
[3223 2651],[3223],[2651]
[2628 7119 573 1503 704 2009 8946 8981 7706 293 4172 2024 9928 1128 5937 3290 4092],[2628 7119 573 1503 704 2009 8946 8981],[7706 293 4172 2024 9928 1128 5937 3290 4092]
[2922 5616],[2922],[5616]
[3683 523 4271 5320 663 9396 2137],[3683 523 4271 5320],[663 9396 2137]
[1025 4560],[1025],[4560]
[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974 2882 5262 9556 5852 4592 7280 6146 1787 4715],[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974],[2882 5262 9556 5852 4592 7280 6146 1787 4715]
[7741 8681 4952 9159 8902 9940 3963 4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300],[7741 8681 4952 9159 8902 9940 3963],[4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300]
[3403 2313 6904 131 727 7082 5574 4605 1988 2558 9468 7109 2532 9933 1840 6370 3036 3649 5197],[3403 2313 6904 131 727 7082 5574 4605 1988 2558 9468],[7109 2532 9933 1840 6370 3036 3649 5197]
[7130 1862],[7130],[1862]
[1755 2699 6415 1467 371],[1755 2699],[6415 1467 371]
[4944 6842 7508],[4944 6842],[7508]
[2424],[2424],[]
