input1,output1,output2
[1368],[1368],[]
[7578 5434 4278 4200],[7578 5434],[4278 4200]
[9879 9950],[9879],[9950]
[6513 1078 6637 4531 3183 6187 1559 120 1963 8646 3871],[6513 1078 6637 4531 3183],[6187 1559 120 1963 8646 3871]
[9225 9994],[9225],[9994]
[9258 4245 4988 2597 4989 6255 9967 5540 5590 9606 7592 9058 7083 5677 6701 3252 1910],[9258 4245 4988 2597 4989 6255 9967 5540 5590],[9606 7592 9058 7083 5677 6701 3252 1910]
[1640 3509 5207],[1640 3509],[5207]
[0],[0],[]
[6343 5731 1543 2119 9835 4286 6248 8689 5031 4259 624 4005 1776 6865 2958],[6343 5731 1543 2119 9835 4286 6248],[8689 5031 4259 624 4005 1776 6865 2958]
[1000],[1000],[]
[100],[100],[]
[7206 8541 8001 5277 6084 9310 9662],[7206 8541 8001 5277],[6084 9310 9662]
[10],[10],[]
[694 1789 1680 4600 9741 9790 9130 4297],[694 1789 1680 4600 9741],[9790 9130 4297]
[0 40],[0],[40]
[9205 5770 7992 5762 8429 6355 575 1055 9761 6451],[9205 5770 7992 5762],[8429 6355 575 1055 9761 6451]
[5567],[5567],[]
[4170 4567],[4170],[4567]
[1025 4560],[1025],[4560]
[2624 5486],[2624],[5486]
[567 241 5822 3871 3424 4463 8718 7388 1137 9524 9249 4708 3003 3716 1624 5264 1453 1939 6256 585],[567 241 5822 3871 3424 4463 8718 7388 1137 9524],[9249 4708 3003 3716 1624 5264 1453 1939 6256 585]
[7543 9324 5159 5974 7529 8159 42 7917 7590 8374 9844 6685 951 1347],[7543 9324 5159 5974 7529 8159],[42 7917 7590 8374 9844 6685 951 1347]
[10000],[10000],[]
[2978 667 8788 6777 7997 3272 9052 1960 9045 6906 2666 1770 7879 2775 6866],[2978 667 8788 6777 7997 3272 9052],[1960 9045 6906 2666 1770 7879 2775 6866]
[331 7575 4533 8019 6573 4311 3654 9446 6890 5887 48],[331 7575 4533 8019 6573],[4311 3654 9446 6890 5887 48]
[1753 8011 4663 2770 4222 8586 4680 1851 8037 2658 6438 8657 8522 4539 933 6507 8431],[1753 8011 4663 2770 4222 8586 4680 1851 8037],[2658 6438 8657 8522 4539 933 6507 8431]
[9999 74],[9999],[74]
[4673 8443 4757 3914 8449 9803 2335 8253 441 1577 6556 7491 2386 6696 5230],[4673 8443 4757 3914 8449 9803],[2335 8253 441 1577 6556 7491 2386 6696 5230]
[5161 8967 7819 8575 1478 1523 6365 8570 9398 9830 8221 2409 6002 7554],[5161 8967 7819 8575 1478 1523 6365 8570],[9398 9830 8221 2409 6002 7554]
[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302 9707 7245 7838 9748 8438 7420 6977],[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302],[9707 7245 7838 9748 8438 7420 6977]
[4050 4073 8183 383 2380 7137 6949 4066 4488],[4050 4073 8183 383 2380],[7137 6949 4066 4488]
[1258],[1258],[]
[1798 7525 3285 8657],[1798 7525],[3285 8657]
[5190],[5190],[]
[1043],[1043],[]
[925 2431 9525 214 7215 889 6438 7773 9116 7523 697 4384 7633 2617 7424 2154],[925 2431 9525 214 7215 889 6438 7773],[9116 7523 697 4384 7633 2617 7424 2154]
[4260 2506 1878 9633 7955 3669],[4260 2506 1878 9633],[7955 3669]
[6084 5122 238],[6084],[5122 238]
[6168 8335 4247 7945 9997 4679 5152 4234 4912 3880 3786 6361 7340 8088],[6168 8335 4247 7945 9997 4679],[5152 4234 4912 3880 3786 6361 7340 8088]
[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974 2882 5262 9556 5852 4592 7280 6146 1787 4715],[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974],[2882 5262 9556 5852 4592 7280 6146 1787 4715]
[9137 4919 2241 5079 607 3827 9190 4734 7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386],[9137 4919 2241 5079 607 3827 9190 4734],[7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386]
[2 129],[2],[129]
[6661 9554 1271],[6661],[9554 1271]
[9789 1629],[9789],[1629]
[5433 995 5445],[5433 995],[5445]
[40],[40],[]
[7741 8681 4952 9159 8902 9940 3963 4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300],[7741 8681 4952 9159 8902 9940 3963],[4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300]
[3146 5916 234 5399 5703 7398 2187 744 7157 8430 8455],[3146 5916 234 5399 5703 7398],[2187 744 7157 8430 8455]
[3809 853 3523 7759 4102 7609 6379 9543 2187 2348 3984],[3809 853 3523 7759 4102 7609],[6379 9543 2187 2348 3984]
[2412 723],[2412],[723]
