input1,input2,output1
[11.82 31.33 37.57 44.3 26.57 11.2 25.32 7.46 31.12 33.18 8.11 2.83 17.96 28.97 5.29 31.93 2.07 30.34],[8.05 83.84 71.1 48.87 95.01 0.54 43.48 91.79 56.76 83.87 19.88 42.32 88.28 71.77 6.8 67.18 58.75 17.53],155.33
[32.19 29.98 15.09 20.79 46.38 10.14 45.89 7.46],[88.0 91.09 45.83 71.52 48.14 60.31 2.19 98.08],93.73
[37.91 24.49],[64.12 20.93],32.97
[32.64 35.01 3.64 37.6 29.67 8.67 0.48 21.64 28.26 44.97 38.49 30.86 15.43 2.93 16.59 24.93 13.22 40.26],[40.15 55.86 16.81 25.42 36.8 42.35 77.09 35.28 38.07 49.84 95.17 99.03 20.53 87.37 53.19 5.09 21.57 60.82],216.34
[42.89 32.64 30.2 29.99 18.36 42.61 1.81 10.58 46.92 24.94],[48.1 13.96 20.37 84.53 29.21 97.87 46.01 39.83 11.87 2.59],165.92
[14.97 10.67 47.38 11.29 35.72 24.71 29.74],[47.12 37.49 38.88 71.15 30.24 40.7 6.57],114.16
[39.24 34.4 5.12 12.22 21.65 41.03 41.42 32.54 11.87 40.91 1.45 34.27 3.78 47.41 47.7],[92.53 40.67 3.62 17.18 42.09 45.42 64.96 67.78 62.29 6.95 22.36 10.64 47.08 80.67 79.06],193.77
[13.07 45.98 23.3],[36.21 10.8 6.42],71.16
[16.09 45.12 13.76 42.13 24.96 49.07 43.17 27.61],[83.55 88.78 11.74 30.51 82.04 75.92 31.82 35.83],112.58
[31.37 43.17 22.25 32.58 30.15 40.47 24.4 41.89 5.6 44.74 35.12],[84.0 55.13 55.7 10.34 70.93 43.16 57.36 94.3 47.27 44.3 23.74],162.67
[11.9 39.69 23.87 37.15 10.98 19.31 10.99 15.46 48.34 8.96 1.48 0.31 12.03 14.16 24.19 26.67 8.15 38.7 4.46 0.14],[90.71 49.45 0.36 4.4 52.23 7.3 87.84 5.43 48.96 8.38 7.49 73.14 30.09 89.67 9.55 15.53 8.19 64.68 18.61 59.01],233.02
[5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73],[59.19 91.24 25.93 16.18 24.65 61.96 67.91 43.87 36.23 34.3 96.27 69.25 73.78 0.52 8.91 39.18 79.67 64.22 14.15 52.44],59.6
[44.33 13.21 4.88 32.27 38.8 0.65 22.57 25.41 0.43 41.87 19.54 24.91 38.27],[42.46 50.05 67.96 50.73 53.69 25.93 27.69 77.91 87.18 68.89 57.34 77.13 14.9],149.63
[13.94 40.26 39.42 40.84 15.27 17.82 18.76 33.36 27.76 25.16 25.57 14.63 45.98 7.42 13.04 28.8 38.36 28.48],[35.26 80.16 23.53 21.46 6.58 63.39 10.94 20.13 39.19 90.74 60.19 20.94 99.82 36.58 2.19 42.23 83.26 72.56],232.75
[14.82],[91.57],1.25
[11.6 39.85 47.18 8.73 38.57 15.32 3.74 23.47 24.61 43.6 34.77 44.26 47.97],[18.0 72.92 64.26 90.39 70.32 52.03 91.69 64.42 26.91 85.06 96.57 91.95 16.65],134.7
[6.7],[40.86],3.96
[32.75 22.34 27.89 13.51 37.3 16.7 14.63 25.82],[77.89 94.44 54.56 68.98 45.02 77.19 55.24 9.62],79.55
[9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99],[33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65],66.28
[20.72 1.37 48.59 25.12 7.84 36.26 0.91 3.06 47.8 13.41 0.34 18.16 35.33 21.28 45.67 40.19],[4.59 0.62 56.86 47.33 75.71 72.1 91.8 55.93 36.06 30.71 66.72 94.64 75.97 85.64 9.7 23.3],193.32
[30.27 23.72 2.96 30.94],[74.96 34.83 14.78 88.75],29.04
[28.71 15.55 23.27 46.87 19.76 29.19 41.51 16.95 33.36 38.75],[64.91 26.34 44.54 5.86 50.5 12.93 33.28 50.08 77.34 52.0],176.07
[30.9 17.14 41.96 38.28 6.97 28.97 30.83],[1.33 16.08 58.73 74.09 20.82 92.79 27.8],101.98
[43.51 30.02 35.72 35.38],[24.12 57.55 51.35 30.76],87.63
[11.08 34.84 44.54 26.74 13.98 39.45 17.19 24.37 27.83 29.35 46.69 4.7 43.3 30.01 49.87 30.52],[30.67 97.77 64.33 86.18 47.18 99.78 54.23 33.74 87.82 69.12 47.06 26.66 63.89 63.15 32.85 83.62],165.33
