input1,input2,output1
[32.31 14.13 15.93 25.75 39.66 40.01 42.95 19.04 41.11 43.17 18.47 46.96 38.6 5.51 41.13],[4.42 34.62 4.54 19.91 68.2 83.95 44.7 67.82 15.15 1.83 44.64 86.66 89.66 77.57 58.98],240.71
[36.67 7.67 49.71 14.13 32.15 9.03 12.27 39.69 26.21 39.45 48.57 8.68 12.15 23.92 30.58],[19.05 57.11 7.82 50.54 25.72 15.55 72.21 34.14 55.06 5.91 77.96 11.04 78.07 90.44 80.25],225.16
[18.85 18.02],[49.04 32.27],21.81
[11.08 34.84 44.54 26.74 13.98 39.45 17.19 24.37 27.83 29.35 46.69 4.7 43.3 30.01 49.87 30.52],[30.67 97.77 64.33 86.18 47.18 99.78 54.23 33.74 87.82 69.12 47.06 26.66 63.89 63.15 32.85 83.62],165.33
[50.0],[10.0],45.0
[34.58 46.12 4.68 5.09 10.88 25.13 13.87 35.92 45.8],[79.3 94.07 36.83 13.89 16.7 28.94 93.63 44.66 10.36],105.97
[45.41 41.94 12.31 9.75 3.2],[95.55 70.84 33.14 17.21 53.34],32.05
[13.07 45.98 23.3],[36.21 10.8 6.42],71.16
[9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99],[33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65],66.28
[38.87 7.27 4.84 32.08 16.63 47.84 11.4 34.11 32.4 38.21 3.85 10.17 34.85 20.26 46.17 5.57],[7.91 6.19 63.2 31.15 74.84 84.22 6.8 45.21 73.71 5.53 14.48 44.07 15.59 19.08 26.62 7.99],245.94
[14.76 17.22 20.6 9.88],[39.57 92.31 62.25 98.92],18.13
[11.82 31.33 37.57 44.3 26.57 11.2 25.32 7.46 31.12 33.18 8.11 2.83 17.96 28.97 5.29 31.93 2.07 30.34],[8.05 83.84 71.1 48.87 95.01 0.54 43.48 91.79 56.76 83.87 19.88 42.32 88.28 71.77 6.8 67.18 58.75 17.53],155.33
[44.33 13.21 4.88 32.27 38.8 0.65 22.57 25.41 0.43 41.87 19.54 24.91 38.27],[42.46 50.05 67.96 50.73 53.69 25.93 27.69 77.91 87.18 68.89 57.34 77.13 14.9],149.63
[6.36 20.04 41.79 38.46 5.84],[46.2 33.08 10.97 92.54 89.39],57.53
[45.95 31.63 2.75 16.22 18.95 5.41 9.84 16.62 24.37 30.43 43.93],[42.57 17.68 87.87 42.48 50.27 8.85 38.6 68.06 56.01 68.75 60.56],125.35
[1.07 48.13 45.97 16.99 20.37 27.3 26.61 23.28 9.49 32.76 37.81 48.86 3.55],[85.13 89.58 47.03 61.68 87.17 25.33 87.2 19.42 0.57 4.01 96.31 41.23 80.56],152.88
[47.28 39.58 1.57],[40.72 36.54 18.04],54.43
[49.74 5.17 3.86 36.19 6.46 17.41 30.6 24.52 49.76 32.31 7.12 32.84 43.99 33.16 49.98 24.07],[73.96 33.0 38.69 52.35 74.42 34.5 82.31 16.37 98.45 58.85 42.88 16.58 15.86 73.2 43.4 92.88],196.43
[41.98 12.47 39.27 42.68 27.54 1.21 28.58 33.99 16.13 13.65 29.87 11.92 26.62 41.28 39.76 11.5 36.35 19.77 1.15 15.65],[90.46 65.42 71.42 19.23 58.38 54.41 88.89 11.08 75.41 86.07 4.67 37.57 28.5 78.16 33.0 20.81 87.44 94.16 74.26 64.4],216.59
[47.41 6.24 46.22 21.33 24.22 44.37 49.55 33.92 20.77 39.43],[53.32 47.3 65.71 70.53 56.8 64.17 0.75 54.9 93.04 16.12],172.91
[42.32 41.97 41.4 29.19 10.78 38.49 11.06 37.05 17.9 38.51 39.34 31.91 44.03 12.03],[46.84 9.63 55.42 64.48 79.89 9.78 72.76 3.89 93.29 68.64 53.69 71.41 83.03 27.45],221.58
[20.0 20.0],[20.0 0.0],36.0
[37.91 24.49],[64.12 20.93],32.97
[16.26 21.58 0.88 1.92 14.86 17.68 5.8 35.88 49.46 23.14 8.81 48.41 6.43 28.38 37.07 26.4 20.63 18.81 8.83 41.08],[65.82 54.87 8.84 27.08 59.59 4.59 75.42 81.23 42.1 5.75 10.72 13.86 97.46 95.49 48.2 86.73 21.74 17.58 49.94 31.12],237.06
[40.07 48.06 15.9 15.09 16.56 12.96 33.39 24.87],[62.96 28.3 36.99 94.93 73.77 12.04 31.61 13.32],120.22
[37.98 4.52 42.68 3.86 35.09 38.56 3.17 27.3 8.56 11.76 20.98],[90.43 45.45 69.13 39.49 73.83 94.99 28.49 71.45 39.87 72.11 38.21],64.18
[32.64 35.01 3.64 37.6 29.67 8.67 0.48 21.64 28.26 44.97 38.49 30.86 15.43 2.93 16.59 24.93 13.22 40.26],[40.15 55.86 16.81 25.42 36.8 42.35 77.09 35.28 38.07 49.84 95.17 99.03 20.53 87.37 53.19 5.09 21.57 60.82],216.34
[30.27 23.72 2.96 30.94],[74.96 34.83 14.78 88.75],29.04
[0.32 27.23 49.37 39.52 21.83],[69.12 42.13 89.56 67.54 22.92],50.67
[1.21 32.48 5.13 22.04 39.56 29.04 39.34],[55.62 51.82 98.4 30.51 36.4 34.05 73.98],86.13
[20.0 20.0],[100.0 50.0],10.0
[0.05 0.72 10.75 9.82 44.21 49.31 13.35],[3.06 90.72 30.63 61.16 86.5 29.84 8.36],64.18
[11.04 48.32 47.3 32.96 1.75 0.92 9.07 34.59 16.65],[27.86 84.57 33.5 33.12 5.09 23.12 27.13 12.19 89.5],110.02
[36.67 8.66 13.08 27.61],[39.2 18.31 5.51 79.93],47.27
[16.3 29.5 21.21 21.87 33.83 6.23 17.05 47.45 2.11 47.82 42.38 21.99 11.83 9.94 27.34 12.02 21.62 40.75],[49.41 56.42 77.41 21.02 30.31 27.35 59.52 15.21 51.03 94.27 51.06 30.29 17.52 63.41 19.41 85.56 61.85 2.44],243.41
[0.25 27.49],[67.18 73.0],7.5
[7.69 22.53 23.36 12.65 45.82 27.35 39.26],[55.36 13.14 48.06 11.28 51.62 98.96 46.49],89.82
[32.75 22.34 27.89 13.51 37.3 16.7 14.63 25.82],[77.89 94.44 54.56 68.98 45.02 77.19 55.24 9.62],79.55
[35.01 1.53 20.6 25.29 11.94 18.71 32.87 13.11 29.28 12.09 36.53 49.33 21.89 35.79 13.36],[9.1 40.22 17.69 20.82 59.92 42.96 47.82 74.1 91.44 31.71 36.82 35.9 33.88 83.3 19.46],202.4
[17.78 15.01 0.23 35.63],[63.58 90.14 98.74 41.62],28.76
[21.45 26.82 15.17 25.51 24.83 0.93 24.56 10.49 30.28 40.25 11.39],[88.56 89.47 84.27 76.73 86.6 28.4 13.7 94.77 99.41 90.62 49.5],49.04
[28.97 38.32 21.75 21.23 3.59 22.55 3.61 29.83 9.28 8.18 44.08 37.4 34.13 8.89],[44.08 31.94 63.89 33.88 39.98 52.49 3.29 22.5 43.35 60.02 38.11 37.55 6.53 12.27],202.51
[31.1 45.24 0.88 25.16 14.66 41.29],[26.7 65.85 73.67 90.37 59.06 18.8],80.43
[37.02 36.1 18.41 26.19 33.34 35.87 8.37 45.75 36.97 34.5 20.06 27.44 27.34 13.71 23.76 33.28 46.35],[8.87 85.35 15.17 1.79 39.98 55.03 14.49 92.56 37.54 32.41 36.63 19.13 88.08 37.36 23.77 22.88 54.68],285.01
[24.65 13.49 0.89 39.31 5.74 35.51 4.75],[3.67 92.17 53.63 34.4 98.65 95.09 97.29],52.95
[42.7 10.96],[90.04 21.62],12.84
[12.82 15.83 21.11 25.16 31.62 13.91 0.87 17.54 33.88 26.82 34.11 49.16 3.27 7.11],[82.45 44.6 75.51 94.21 61.93 44.22 85.07 83.84 10.58 63.67 22.39 98.14 92.97 30.43],113.01
[33.73 8.2 41.2 17.61 5.89 34.65 45.29 38.4 35.6 27.84 37.52 5.72 44.78 20.11 22.7 34.03 10.87],[96.51 50.98 46.65 12.64 30.78 73.23 7.45 81.31 34.62 22.16 47.51 64.36 75.06 50.76 19.11 43.37 54.96],235.28
[22.7 45.6 48.66 14.28 31.18 42.55 48.39 47.54 4.84],[67.33 61.07 10.07 29.89 2.19 10.7 61.23 76.33 80.56],178.39
[14.92 32.32 8.4 15.64 8.65 43.85 8.58 21.56 24.71 43.08 30.88 49.29 22.79 6.55 23.83 5.87 2.95 40.04],[4.64 24.58 6.99 79.73 30.46 57.16 13.51 53.59 18.96 43.68 12.83 50.13 91.49 39.77 37.52 30.78 14.96 75.63],224.7
[25.48],[55.53],11.33
[15.35 1.12 25.87 22.13 25.24 32.68 17.57 25.99 4.39 19.33 13.35 36.82 4.01 16.22 45.45 33.61 8.34 26.39 31.1],[26.48 94.09 56.78 92.06 27.95 17.76 11.68 90.82 53.28 66.1 23.46 88.52 48.01 77.6 97.89 70.94 0.82 28.68 71.55],162.69
[21.3 28.11 18.37 10.99 18.71 6.26],[21.85 25.07 58.28 17.9 5.87 59.28],74.56
[30.7 13.73 42.06 33.15 49.44 33.79 40.79 30.23 42.3 12.72 22.59 49.78],[16.07 29.24 65.69 53.55 81.21 93.64 70.21 26.23 62.2 36.21 10.1 31.4],189.76
[41.02 17.41 22.48 38.02 27.01 12.78 5.36 1.3],[75.38 52.64 76.01 85.14 42.89 2.38 92.27 79.18],57.97
[8.44 0.08],[51.36 13.04],4.17
[11.9 39.69 23.87 37.15 10.98 19.31 10.99 15.46 48.34 8.96 1.48 0.31 12.03 14.16 24.19 26.67 8.15 38.7 4.46 0.14],[90.71 49.45 0.36 4.4 52.23 7.3 87.84 5.43 48.96 8.38 7.49 73.14 30.09 89.67 9.55 15.53 8.19 64.68 18.61 59.01],233.02
[16.85 19.01 12.41 4.58],[1.74 72.73 13.94 75.29],33.55
[6.7],[40.86],3.96
[49.25 45.85 23.18 45.35 37.45 1.11 32.95 13.48],[91.23 54.24 1.44 79.17 27.62 19.65 2.03 59.09],123.39
[11.99 14.31],[27.37 17.21],20.56
[25.43 43.22 23.42 42.09 25.7],[0.0 0.0 0.0 0.0 0.0],159.86
[38.3 46.76 41.13 46.72 28.36 18.47 42.96 8.17 25.71 48.87 48.86 9.78 18.74 6.78 5.57 15.57 43.68 34.06 19.75 32.05],[84.06 45.89 80.9 27.35 98.02 42.25 51.72 85.12 73.12 68.79 94.66 68.95 25.34 42.03 13.79 46.33 18.43 20.27 88.16 28.7],253.25
