input1,input2,output1
[22.71 48.65 22.66 35.41 31.83 2.75 38.6 1.73 2.38 7.41 32.14 37.55 32.06 23.78 10.47 34.16 45.65 37.44 43.27],[51.06 35.33 37.03 37.64 29.64 46.14 59.83 40.8 54.56 61.99 22.84 13.5 1.8 76.04 39.71 12.76 9.22 41.65 43.56],341.51
[31.1 45.24 0.88 25.16 14.66 41.29],[26.7 65.85 73.67 90.37 59.06 18.8],80.43
[21.45 26.82 15.17 25.51 24.83 0.93 24.56 10.49 30.28 40.25 11.39],[88.56 89.47 84.27 76.73 86.6 28.4 13.7 94.77 99.41 90.62 49.5],49.04
[1.07 48.13 45.97 16.99 20.37 27.3 26.61 23.28 9.49 32.76 37.81 48.86 3.55],[85.13 89.58 47.03 61.68 87.17 25.33 87.2 19.42 0.57 4.01 96.31 41.23 80.56],152.88
[19.02 33.13 46.2 23.67 15.08 49.71 14.08 22.76 8.24 19.22 0.98],[34.36 85.34 83.52 1.86 27.74 92.36 59.77 87.38 63.63 91.59 3.61],76.97
[0.01 0.01 0.01 0.01 0.01 0.01 0.01],[85.77 43.99 22.78 34.14 34.12 8.54 11.03],0.05
[24.69 8.17 45.88 3.56 4.06 28.11 45.6 17.58 23.02 32.55],[35.58 60.06 54.41 87.83 87.93 10.24 12.24 63.12 10.83 58.2],146.87
[12.98 37.79 19.92 42.55 35.19 19.49 37.28 33.71 5.74 22.57 32.56],[11.07 48.78 26.11 36.13 48.8 21.37 59.02 43.16 74.07 25.18 44.09],177.15
[7.67 33.91 31.45 6.52 9.48],[31.22 91.77 66.01 79.85 94.2],20.62
[33.73 8.2 41.2 17.61 5.89 34.65 45.29 38.4 35.6 27.84 37.52 5.72 44.78 20.11 22.7 34.03 10.87],[96.51 50.98 46.65 12.64 30.78 73.23 7.45 81.31 34.62 22.16 47.51 64.36 75.06 50.76 19.11 43.37 54.96],235.28
[1.21 32.48 5.13 22.04 39.56 29.04 39.34],[55.62 51.82 98.4 30.51 36.4 34.05 73.98],86.13
[38.51 13.92 24.1 7.05 25.74 3.61 12.34 17.3 48.65 14.51 23.54 36.27 45.57],[9.51 69.05 7.19 73.07 15.2 17.93 33.17 36.41 50.15 47.81 31.89 95.96 43.63],182.47
[34.45 14.16 43.7 46.08 31.99 44.47 42.16 48.5 46.69 34.01 37.29 7.56 2.17 33.04],[39.98 85.75 64.1 50.14 83.61 86.74 73.25 16.76 30.42 4.65 30.17 52.29 7.86 58.13],234.54
[0.25 27.49],[67.18 73.0],7.5
[50.0],[10.0],45.0
[38.87 7.27 4.84 32.08 16.63 47.84 11.4 34.11 32.4 38.21 3.85 10.17 34.85 20.26 46.17 5.57],[7.91 6.19 63.2 31.15 74.84 84.22 6.8 45.21 73.71 5.53 14.48 44.07 15.59 19.08 26.62 7.99],245.94
[35.41 5.77 25.86 36.59 18.17 26.88 48.85 18.18 12.62 28.61 41.75 49.64 24.18 44.72 41.15 33.94 37.79 11.29 45.78],[76.93 84.34 43.12 61.52 22.36 18.02 33.57 81.42 75.81 58.21 93.51 22.38 87.01 18.23 38.31 79.05 51.56 72.95 11.96],299.95
[34.8 2.77 46.7 19.49 33.07],[87.86 48.2 67.78 65.95 25.89],51.85
[6.7],[40.86],3.96
[31.08 22.63 1.24 48.3 9.76 12.2 14.79 19.52 32.97 9.54],[65.73 71.42 33.26 60.0 75.63 79.93 63.84 16.79 19.65 53.91],94.57
[11.9 39.69 23.87 37.15 10.98 19.31 10.99 15.46 48.34 8.96 1.48 0.31 12.03 14.16 24.19 26.67 8.15 38.7 4.46 0.14],[90.71 49.45 0.36 4.4 52.23 7.3 87.84 5.43 48.96 8.38 7.49 73.14 30.09 89.67 9.55 15.53 8.19 64.68 18.61 59.01],233.02
[9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99],[33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65],66.28
[11.04 48.32 47.3 32.96 1.75 0.92 9.07 34.59 16.65],[27.86 84.57 33.5 33.12 5.09 23.12 27.13 12.19 89.5],110.02
[11.08 34.84 44.54 26.74 13.98 39.45 17.19 24.37 27.83 29.35 46.69 4.7 43.3 30.01 49.87 30.52],[30.67 97.77 64.33 86.18 47.18 99.78 54.23 33.74 87.82 69.12 47.06 26.66 63.89 63.15 32.85 83.62],165.33
[6.36 20.04 41.79 38.46 5.84],[46.2 33.08 10.97 92.54 89.39],57.53
[20.72 1.37 48.59 25.12 7.84 36.26 0.91 3.06 47.8 13.41 0.34 18.16 35.33 21.28 45.67 40.19],[4.59 0.62 56.86 47.33 75.71 72.1 91.8 55.93 36.06 30.71 66.72 94.64 75.97 85.64 9.7 23.3],193.32
[6.1 24.39 20.11 43.81 44.96 48.16 19.19 22.76 31.82],[99.47 90.41 26.13 36.98 22.79 33.16 78.47 72.18 21.28],147.25
[22.16 26.47 21.15 34.94 13.73 35.9 9.35 14.78 31.15 1.33 30.3],[98.72 91.71 40.06 19.8 72.22 77.59 17.49 5.24 22.63 30.63 19.64],126.13
[50.0],[100.0],0.0
[30.27 23.72 2.96 30.94],[74.96 34.83 14.78 88.75],29.04
[7.69 22.53 23.36 12.65 45.82 27.35 39.26],[55.36 13.14 48.06 11.28 51.62 98.96 46.49],89.82
[28.97 38.32 21.75 21.23 3.59 22.55 3.61 29.83 9.28 8.18 44.08 37.4 34.13 8.89],[44.08 31.94 63.89 33.88 39.98 52.49 3.29 22.5 43.35 60.02 38.11 37.55 6.53 12.27],202.51
[45.95 31.63 2.75 16.22 18.95 5.41 9.84 16.62 24.37 30.43 43.93],[42.57 17.68 87.87 42.48 50.27 8.85 38.6 68.06 56.01 68.75 60.56],125.35
[21.3 28.11 18.37 10.99 18.71 6.26],[21.85 25.07 58.28 17.9 5.87 59.28],74.56
[20.0 20.0],[100.0 50.0],10.0
[1.28 8.85],[33.07 48.42],5.42
[25.58 21.86 36.57 15.48 22.18 14.48 45.85],[94.06 77.11 31.28 73.77 2.68 73.82 77.11],71.59
[14.92 32.32 8.4 15.64 8.65 43.85 8.58 21.56 24.71 43.08 30.88 49.29 22.79 6.55 23.83 5.87 2.95 40.04],[4.64 24.58 6.99 79.73 30.46 57.16 13.51 53.59 18.96 43.68 12.83 50.13 91.49 39.77 37.52 30.78 14.96 75.63],224.7
[37.57 49.09 42.62 2.51 31.37],[56.2 25.92 57.65 71.72 96.06],72.82
[8.44 0.08],[51.36 13.04],4.17
[41.88 49.6],[7.79 58.94],58.98
[49.74 5.17 3.86 36.19 6.46 17.41 30.6 24.52 49.76 32.31 7.12 32.84 43.99 33.16 49.98 24.07],[73.96 33.0 38.69 52.35 74.42 34.5 82.31 16.37 98.45 58.85 42.88 16.58 15.86 73.2 43.4 92.88],196.43
[34.58 46.12 4.68 5.09 10.88 25.13 13.87 35.92 45.8],[79.3 94.07 36.83 13.89 16.7 28.94 93.63 44.66 10.36],105.97
[29.82 0.03 37.59 0.04 47.64 8.91 42.41 31.97 19.86 17.16 24.9],[2.38 39.0 69.26 23.79 14.37 52.35 58.94 52.97 27.78 10.61 15.69],168.88
[3.69 35.45 15.29 13.44],[34.96 36.87 18.15 77.0],40.39
[49.25 45.85 23.18 45.35 37.45 1.11 32.95 13.48],[91.23 54.24 1.44 79.17 27.62 19.65 2.03 59.09],123.39
[15.35 1.12 25.87 22.13 25.24 32.68 17.57 25.99 4.39 19.33 13.35 36.82 4.01 16.22 45.45 33.61 8.34 26.39 31.1],[26.48 94.09 56.78 92.06 27.95 17.76 11.68 90.82 53.28 66.1 23.46 88.52 48.01 77.6 97.89 70.94 0.82 28.68 71.55],162.69
[7.47 41.56 11.12 38.89 36.6 46.18 29.38 39.49 44.91 24.89 2.01 43.26 21.83 22.84 44.92 37.78 42.98],[92.64 22.26 77.1 38.37 89.68 80.87 83.79 85.8 65.89 43.32 20.3 4.69 67.53 64.51 24.27 59.08 10.88],257.59
[6.43 39.72 17.83 23.01 38.42],[14.84 58.52 21.38 61.87 2.88],82.06
[34.99 21.48 48.4 24.71 15.09 30.57 16.93 16.88 42.44 42.09 45.55 0.8 35.21 14.89 13.12 32.8 23.0 30.79 25.54],[69.58 86.66 16.51 0.82 99.02 75.96 47.58 36.17 60.26 18.36 93.31 9.54 17.65 76.8 85.96 50.67 81.43 29.56 40.95],252.08
[10.0 20.0 30.0],[5.0 10.0 95.0],29.0
