input1,input2,output1
542150,768039,1
284628,195107,1
816254,773260,2
383373,787895,1
123456,654321,3
415445,37033,1
671,635600,1
158541,293567,1
507329,628882,1
220109,508840,1
552497,20582,1
333283,81004,1
251734,863497,1
265593,447068,1
402273,852924,3
847810,894529,1
108314,421140,2
692596,418877,1
719977,486418,1
721687,509316,1
199618,362837,1
174325,643775,25
398189,383069,1
46369,34572,1
54,24,6
779721,500671,1
624227,938843,1
856557,353245,1
580793,154149,1
785617,78223,1
645709,660132,1
4,400000,4
496318,784462,2
1,1,1
430540,306623,1
712289,931266,1
738828,848058,6
799709,35668,1
867238,20322,2
628452,980066,2
194977,917185,1
815613,737253,3
4200,3528,168
107237,264596,1
746375,830368,7
950778,702499,1
34218,195411,3
820000,63550,2050
744880,993247,1
638669,441487,1
