0,"[np.float64(1.0), np.float64(1.0)]"
1,"[np.float64(1.0), np.float64(1.0)]"
2,"[np.float64(1.0), np.float64(1.0)]"
3,"[np.float64(1.0), np.float64(1.0)]"
4,"[np.float64(1.0), np.float64(1.0)]"
5,"[np.float64(1.0), np.float64(1.0)]"
6,"[np.float64(0.985), np.float64(0.995)]"
7,"[np.float64(1.0), np.float64(1.0)]"
8,"[np.float64(0.645), np.float64(0.66)]"
9,"[np.float64(1.0), np.float64(1.0)]"
10,"[np.float64(0.67), np.float64(0.665)]"
11,"[np.float64(1.0), np.float64(1.0)]"
12,"[np.float64(1.0), np.float64(1.0)]"
13,"[np.float64(0.98), np.float64(0.995)]"
14,"[np.float64(0.645), np.float64(0.66)]"
15,"[np.float64(0.5), np.float64(0.485)]"
16,"[np.float64(1.0), np.float64(1.0)]"
17,"[np.float64(1.0), np.float64(1.0)]"
18,"[np.float64(0.98), np.float64(0.975)]"
19,"[np.float64(0.03), np.float64(0.01)]"
