input1,output1
617/5443369-32325/41,85
428/7/13316/8--2-421,77
7/5312X9-344454X-7,102
349/63X-244X8--59/7,102
16X4213627243527221,76
345-454-25429-2-625-,62
6/432181366-6152X13,80
3636-65124520/--5227,69
169/9-6-4-42-7721581,82
4/362/23623/-244X2/2,99
-58-9/-28-3/5126-612,71
111111X111111111111,30
6/9-724--58-54349-X13,93
33126/-84-612281XX72,97
15457-9/54542452-77/4,89
9-XX61165-34--1-7-,86
249/718125X52X-29-,94
7-818171-781163-XX87,112
4541115-621/X34454/4,96
812-249/X-54481X21,90
8-147/--522-31-14323,49
4252147/54X45814463,96
----------3/--------,10
168/4-154/X239-6-9/1,97
2281X61--449/X1681,98
36413/3581368-9/9-71,97
6/9-4318X3-6362538/X,105
4-9-71-3X-3X228-4/5,81
258-52X7/5--39-9/-2,86
62363563X9/429/628-,106
4/616-54419/9/-8718/5,103
22247/9/3116435/1561,84
--------------------,0
149/353-63329/--9/32,71
814553X3-2551718/53,86
8-4-6114175-8/3/9/54,93
359-9/-8432163444532,76
5-7-13351621X334213,66
818-3/53514223279/9-,94
8/9-144-42XX-78/33,106
532/4362X179-41447/5,100
45X8-227-X---49/2-,74
-57/52717254175-349/1,84
4-22723/9/439/24363-,87
316-6/-38/728-622/X77,109
6-8--9251617512416-5,69
328/-1-1-443512254X0/,67
16X547/619-14X-1X35,102
8/22252-269/6181428-,79
5/1/619-7/5-3/9/3/5/6,126
9-6-6/6/X412626X51,109
9-9-178-24344-1-9/XX6,98
------3/61----------,23
X52X52X52X52X52,120
529-322-4/8/-53/169/8,92
217/43217/622/6/X25,111
447/9/8/3252327-XX45,125
8/34X54X7/-36-1261,97
7/222316271/4363179-,84
15639/3/-9X-23-519-,79
2-2463258/-9-5X356/4,88
24815361356212813581,75
1881-5269-44X25349-,88
535-XX-99-44729-9/5,111
513333279-252544X36,86
7115XXX548/279-X53,145
42X156/X451/545-36,114
1281X9/632/8-62-481,104
9/9-9-17364212-15127,79
XXXXXXXXXXX9,299
-4-/-2-/-7-6-/-3-/-4,66
6/2-4/-924X6/4/9/9/-,121
X9-5-X22X8-358-2-,95
9-7-439/624-9-1-72--,70
4-5-819-35518-54113-,63
3153X--3543X8-6/33,82
1/6/432741X71224/6-,103
234262635221X-27-9/4,73
72366-7-51X535/62-9,96
9/7217-14/4/X-7X62,119
81268123357/817/3118,92
2/81239/52811--23233,77
2-5/428--8-1358/-216,66
264-619-X8/9-4561X11,104
------X------------,10
4152X149--66361725-,77
14216-318-21215/2372,58
--6-6335549-1642XX29,97
3152349/6/5/35328-51,89
6345429-X5--7X1231,80
515-725/X7/7-0/4/X44,136
51-3-47271626/-2532-,60
XXXX9/XXX2/XXX,251
446371XX7-7/5/9-7-,126
----------XX7-----,51
2345-361X139/7-9/X5X,111
81338-9-357-6-1/X2/8,111
9-X25455-52318/-561,80
5-11-28-4/-4-3331862,57
0/189/260/11327/2434,83
8/4/9/631724-97-8/4/9,121
11111111111111111111,20
157118810/8-7172171/6,99
-8-29/7/X7/3643-811,106
443263455413368/-59-,77
6-9-X6-719/-2X5-72,86
9/9/1-239/-18/X7-X1X,112
63259-6/328/812-2/9-,100
361-7-161/7/2-7/-83/4,87
32X224515338/278-81,82
7/-332-5429-244116X-8,74
45X-2539/6-624/6-81,92
X9--79-4/351851-861,95
--------------1-----,1
439-1-62-6266/7-5324,77
12729/X9/-47126-39/8,103
5/5/5/5/5/5/5/5/5/5/5,150
81361122123/8-X-981,90
4-718/61-52581-51/15,78
6245X6161-19/5/42-2,86
3481255142717/1/8161,88
8/-5632561-76/45X26,94
9--4--X42X6-9-9-34,82
8/4131511/6/X132344,96
-/-/-/-/-/-/-/-/-/-/-,100
219-8/45178/4/-56-62,86
72X9/443-9/9/636352,114
72269/7-8-1/4/8-X32,109
0/325/5-245-8-12351-,69
5/8/423-5/4351363/52,99
6/128/17X32361/3563,92
XXXXX81XXX-1,208
XXXXXXXXXXXX,300
81512323345-X233134,68
24729/724/549/9/632/4,123
618121X5271X8-43-7,91
6/1/326/548/4-4/3/5/9,118
XXXXX----------,120
-11871-62662179/9--4,80
11-9X329-X817-9/44,97
617/X1-724/9/133/9/3,114
129/8-7/8-X546-2212,96
X8-547/1/631/53817/X,123
8/618--26322X343323,81
14219/71455-9-6217X3-,85
638-9-81X8/4-9-4236,97
--X34--------------,24
6/62-34/X9/X52-38/1,125
5-1/637/62-97/31X11,94
8/548/6/5114X35356-,106
