input1,output1
62363563X9/429/628-,106
219-8/45178/4/-56-62,86
XXXXXXXXXXX9,299
9-9-178-24344-1-9/XX6,98
36413/3581368-9/9-71,97
316-6/-38/728-622/X77,109
22247/9/3116435/1561,84
6/62-34/X9/X52-38/1,125
--------------1-----,1
-4-/-2-/-7-6-/-3-/-4,66
2345-361X139/7-9/X5X,111
63259-6/328/812-2/9-,100
7115XXX548/279-X53,145
5/5/5/5/5/5/5/5/5/5/5,150
5/1/619-7/5-3/9/3/5/6,126
XXXXX----------,120
-/-/-/-/-/-/-/-/-/-/-,100
4-5-819-35518-54113-,63
XXXXX81XXX-1,208
72269/7-8-1/4/8-X32,109
9/7217-14/4/X-7X62,119
----------3/--------,10
42X156/X451/545-36,114
11-9X329-X817-9/44,97
------3/61----------,23
6/128/17X32361/3563,92
4-22723/9/439/24363-,87
--------------------,0
814553X3-2551718/53,86
6-9-X6-719/-2X5-72,86
11111111111111111111,20
0/189/260/11327/2434,83
------X------------,10
532/4362X179-41447/5,100
818-3/53514223279/9-,94
----------XX7-----,51
24815361356212813581,75
XXXXXXXXXXXX,300
XXXX9/XXX2/XXX,251
264-619-X8/9-4561X11,104
617/5443369-32325/41,85
16X547/619-14X-1X35,102
111111X111111111111,30
169/9-6-4-42-7721581,82
345-454-25429-2-625-,62
9-XX61165-34--1-7-,86
--X34--------------,24
0/325/5-245-8-12351-,69
4541115-621/X34454/4,96
X52X52X52X52X52,120
