0,"[np.float64(1.0), np.float64(1.0)]"
1,"[0.0, 0.0]"
2,"[np.float64(1.0), np.float64(1.0)]"
3,"[np.float64(1.0), np.float64(1.0)]"
4,"[np.float64(1.0), np.float64(1.0)]"
5,"[np.float64(0.885), np.float64(0.875)]"
6,"[np.float64(0.885), np.float64(0.875)]"
7,"[np.float64(0.12), np.float64(0.095)]"
8,"[np.float64(0.885), np.float64(0.875)]"
9,"[np.float64(0.885), np.float64(0.875)]"
10,"[np.float64(1.0), np.float64(1.0)]"
11,"[np.float64(0.885), np.float64(0.875)]"
12,"[np.float64(0.885), np.float64(0.875)]"
13,"[0.0, 0.0]"
14,"[np.float64(1.0), np.float64(1.0)]"
15,"[np.float64(1.0), np.float64(1.0)]"
16,"[np.float64(1.0), np.float64(1.0)]"
17,"[np.float64(1.0), np.float64(1.0)]"
18,"[np.float64(0.885), np.float64(0.875)]"
19,"[np.float64(0.885), np.float64(0.875)]"
