input1,input2,input3,output1
jmcbefphvl,olahzbykgi,bbplhpclbljcbfevhvmppvj,hhyikyaihioahbzgkglyygo
znglyvd,wtgalxj,znddglnvvznzvyylvzgggggg,wtjjgatxxwtwxllaxwgggggg
qyzr,wvmp,rrzzqyzqzzyrqq,ppmmwvmwmmvpww
yomphdjiaxcefwglsvrkbtquz,gyjzdemfausqkrnilpcthvowx,lxgcaglqvkdjrfpgxkmrox,iunsanioptemckznutjcyu
tcvesxnuj,fpcdqawri,cnetcccsveje,pwdfpppqcdid
czpnhda,juqvbem,ahchcnnnznahz,mbjbjvvvuvmbu
ogviqj,ahgdir,gvovvgijvjqgqivvgjgvioggog,hgagghdrgrihidgghrhgdahhah
j,h,j,h
buojqahz,gfkzlcua,obqubhuh,kglfgufu
mtbelqospaykjhdfxwugrizvcn,htmrlnvqexkdfaopyuizbcjgsw,zeuitcrojthlcuugsgo,jrictsbvftalsiizqzv
abcdefghijklmnopqrstuvwxyz,cdqutzayxshgfenjowrkvmpbil,thequickbrownfxjmpsvlazydg,kytovxqhdwnpezbsfjrmgcliua
msjqdoczweprglfuyvihnxbkat,osvcqldzxfktbmnyepiauwrjhg,et,fg
cxnvh,rlewj,nnccccccvcccncncnv,eerrrrrrwrrrererew
xlbrvnsqkojude,rihjodyvmxgqwz,vqlunrkruejnrnvvxxvnxvsqr,oviqdjmjqzgdjdoorrodroyvj
e,l,eeeeeeeeee,llllllllll
deaxp,nmcfi,axepxp,cfmifi
yqnmwfkuzlc,atibscmlfjx,qmwqlfukyz,tbstjclmaf
mvl,pwv,vvmvmvlvlmmmllvlmvlmmv,wwpwpwvwvpppvvwvpwvppw
qdfgyhetsb,gljnxeobak,fffqsstggdyeqtbse,jjjgaabnnlxogbkao
cx,fl,,
trqgjuomlybdwcezxhp,nkwgrqlomyjchdetfui,xdjrodbzylephxpby,fcrklcjtymeiufijy
ah,wb,haahhhhhhahahhahhahh,bwwbbbbbbwbwbbwbbwbb
funoxchdpim,dnimsvzfhca,,
wlh,som,w,s
atfrmjdywbklvgsn,rhnxqzovybitdjgc,sfmsfjwttly,gnqgnzyhhtv
txjdmveqafynpusoblhg,vzdfahqomytjebipkxsn,jjmadptbajaxhpboesqd,ddamfevkmdmzsekpqiof
pdblyjnhogxtcfzkrwevi,nmcpdufijxrwkqyolevgz,evroodebxdcvgjky,vgljjmvcrmkgxuod
xfdybw,uxanej,dyffwbyybww,anxxjennejj
cukaxqsizyohwerdtgvmfljb,quidyvzlxknohwmsjrecpgba,rmgflmtjhbzctwdla,mcrpgcjboaxqjhsgd
nzcgorhsfwk,valthoguens,hcfcrfngrsnrhskf,gleloevtouvoguse
edcrfqaokbumphtgjlizxywv,lvmrzujsqcnibgtfapoyekwd,megtmpxeekqwzpej,ilftibellquwybla
gyzfleaormniwsxkdpch,firptalchbeuwygoqnvk,wxoizpnhyhz,wgcurnekikr
epzlqwshamnckyotfviu,fxejvkwliqcdumapsgto,amzikolvthakafytl,iqetuajgpliuismpj
e,c,e,c
vnehijgklqwbdcr,jktvcrsxdnobump,ecclvwnhhvbbckignniqcdlrcv,tmmdjokvvjbbmxcskkcnmudpmj
qwnztvoebluxyschmiajpf,ugljcaekwsnitxzyhdboqm,snszillm,xlxjdssh
o,z,oooooooooooooooooooooooooo,zzzzzzzzzzzzzzzzzzzzzzzzzz
svmtpjzwunfhexry,byezdcriajmxwsop,mrxsp,eosbd
onkalgymdheftjir,bfrxocwkuvsnhmqd,jkmrrgge,mrkddccs
ptfmznlwgueshqrxvabyjo,grcqvubajmelfizdwyhosx,wlvvphutaju,abwwgfmrysm
burctwqngldmiyazojf,cxezmawgsrnobitkdlf,yatidlmrbcmwojqqrblob,itmbnroeczoadlwwecrdc
nbackwtphjrefxzquylismdgov,dfevtjqiosycuphnxawlkmzrbg,hbqqlgpthvadkfjq,ofnnwriqogeztusn
vohpmzwca,jwxqgbuih,zamcvcam,bhgijihg
jbzrvwfikextqsp,ykeanwgojbpqivt,kjzkxjqr,jyejpyia
usrxgbzkoqmchapwdvlinte,twluvcsxjhgpqaobefyirzm,bnzssvwtbl,crswwfbzcy
ih,fb,ihhhiihhhhihhhhhiih,fbbbffbbbbfbbbbbffb
v,m,vvvvvvvvvvvvvvvvvvvv,mmmmmmmmmmmmmmmmmmmm
slojxaqrcdntwuemvzpg,enqcdpmyowhvkftsrbxi,tar,vpy
uhsfgyktipmj,uwekajopnmhi,pjtsjggjkssiju,mipeiaaioeeniu
xikhtqpcegzmsuwndbylrojvfa,scznrfaiuxgtwjhdyovelpkbmq,fnwbcubfsgoxif,mdhoijomwxpscm
h,d,hhhhhhhhhhhhhhhhhhhh,dddddddddddddddddddd
gvopkhcmyw,rzxvqjbmus,vgmhmvywkwvmykmypyyyyk,zrmjmzusqszmuqmuvuuuuq
to,em,ottttotoot,meeeememme
u,b,uuuu,bbbb
ksdp,oqui,pkkpkppsdsk,iooioiiquqo
ejmsuntvbzrdykxgc,kjfitobxevcprdqzn,neztmzcxyz,okvbfvnqrv
otghvwmkclidzryxsfqeapnjbu,alpebhxmnrcyiosvtgzjwuqdfk,aaabbbccc,wwwfffnnn
clsbnuxgfviajowptrqhk,einpclwhvfmtjadzqguyk,hrppb,ygzzp
a,z,a,z
hoqcjmleuafbdkvsxrpgzyi,lrtkhodmipuczswnabqgjfv,ozdamejaymrqbefxpmfyl,rjzpomhpfobtcmuaqoufd
ukr,yik,kkrkru,iikiky
fvlwekhcrqu,mvnzorbtyei,rfwfrwkcece,ymzmyzrtoto
eytqjzplaumcbfnvx,vekjwxlhacpobnsry,uneczzbpmqpffntjcbycmexnlq,csvoxxblpjlnnskwobeopvyshj
e,x,eeeeeeee,xxxxxxxx
n,y,nnnnnnnnnnnnnnnnnnnnnnn,yyyyyyyyyyyyyyyyyyyyyyy
zqevigmfujhwtdypklcxs,sqbkewhcxpruzgmifjvdl,itesmdhevtyfjieeuhqdwhlg,ezblhgrbkzmcpebbxrqgurjw
a,a,a,a
pea,rom,epeeppapapea,oroorrmrmrom
rzhnwfudxjst,danzekstbvfo,rjr,dvd
mlsxkyuzjhdtafbqgceon,ydvzgcephjqorftmiulan,netktleyfybcqfmgmsdbhntzqy,nlogodlcfctumfyiyvqtjnopmc
bhuofndjwe,tfasmbquyi,owhjhfddwwjub,syfufmqqyyuat
cofapesqjuig,ysfqwrbdkioh,sjsoqiacujispfiiu,bkbsdoqyikobwfooi
ajp,xlm,jajaajpajpapjjaajpapj,lxlxxlmxlmxmllxxlmxml
uncmksvzqlprxgobwtdjfeaiy,orudcxkeambhflqpiwzytvgsn,afxyjukanywncignvkuzu,gtfnyocgrniruslrkcoeo
xgnzdcuatvlqmbky,agzmfnvlqdoisetx,vbaqmvq,delisdi
,,,
dbzoiefymug,pubnhjxgktf,ydb,gpu
ujd,ljv,duuujjuudjujudddu,vllljjllvjljlvvvl
foeapluyjhcktvrqmz,fpkiajheudsvgtlzmw,prkuhmhzhvkruul,alvhdmdwdtvlhhj
uzdcxrvkytgia,kuymhcqrtxbev,atuzzdvyxyartacigz,vxkuuyqthtvcxvmebu
ycktswdu,pmnhzcgy,yktsdtuktusuwddwt,pnhzghynhyzycggch
pkjhntbuvwslrcaexqmig,ogitadrplmkqwnyxuvfbe,vsutealhusstpbcknwgmv,lkpdxyqtpkkdorngamefl
gcvrh,wvamf,ggggcrrhchrrrrcrgcrrh,wwwwvmmfvfmmmmvmwvmmf
zqyvugfrodkiwatlxmjnhcp,vjfyaxmpqbnirhcguklswdt,ilvzhcijunjv,igyvwdilasly
db,lo,ddddddddb,llllllllo
abcdefghijklmnopqrstuvwxyz,zyxwvutsrqponmlkjihgfedcba,bvafvuqgjkkbeccipwdfqttgzl,yezuefjtqppyvxxrkdwujggtao
gizdcjmxa,uznwalmsx,imaacjgiammxcmadmcaaxddd,zmxxaluzxmmsamxwmaxxswww
nrqthpczlbam,crqumsknfxov,lcrl,fkrf
sbmiwhnegcxo,gylpqhcaoxem,gnbigbibw,ocypoypyq
abevfiupnctkjrlxzdwh,gyeisuojmnqhcazdvfbl,vrvncknwhhanfewtbpdjtl,iaimnhmbllgmsebqyjfcqz
uzxwbyqsvptcorlakeignjhdmf,hncgfqarmdbkpwsziolyjvtuex,rrvarljtvb,wwmzwsvbmf
czrtjn,hygtmo,jnjrrtnnj,momggtoom
hsfcimvdzawqxketgolrunjyp,lsxedugaowmvrnbztihcjpqyk,huuktsfjrcmpgepyitw,ljjnzsxqceuktbkydzm
kjdbugstpfnrqhaz,npimldehxzcasyfo,dqshzdndtdkfa,iseyoicihinzf
